gene,cell_type,Sex,cor,pval,padj
ANKRD40,Endo,F,0.9441405115671601,3.8860775236447884e-7,6.861872833488626e-6
NME1,Endo,F,0.9441405115671601,3.8860775236447884e-7,6.861872833488626e-6
TRIM25,Endo,F,0.9441405115671601,3.8860775236447884e-7,6.861872833488626e-6
SUPT4H1,Endo,F,0.7753358527434332,0.0011217590511628714,0.012187665162791598
YPEL2,Endo,F,0.8168695759648024,3.624387945607179e-4,0.004456267100633883
ACE,Endo,F,0.9441405115671601,3.8860775236447884e-7,6.861872833488626e-6
PSMC5,Endo,F,0.7039763307663136,0.004952347081213297,0.043611790566504514
ABCA10,Endo,F,0.9441405115671601,3.8860775236447884e-7,6.861872833488626e-6
LINC01483,Endo,F,0.9441405115671601,3.8860775236447884e-7,6.861872833488626e-6
RPL38,Endo,F,0.7014463394813703,0.005179974593550975,0.04550037005267445
GPRC5C,Endo,F,0.7408458357672293,0.002435747935919427,0.02390769635966369
TMEM94,Endo,F,0.9441405115671601,3.8860775236447884e-7,6.861872833488626e-6
TSEN54,Endo,F,0.9441405115671601,3.8860775236447884e-7,6.861872833488626e-6
SAP30BP,Endo,F,0.9441405115671601,3.8860775236447884e-7,6.861872833488626e-6
WBP2,Endo,F,0.9441405115671601,3.8860775236447884e-7,6.861872833488626e-6
MRPL38,Endo,F,0.9441405115671601,3.8860775236447884e-7,6.861872833488626e-6
ACOX1,Endo,F,0.8168695759648024,3.624387945607179e-4,0.004456267100633883
TEN1,Endo,F,0.9441405115671601,3.8860775236447884e-7,6.861872833488626e-6
SRP68,Endo,F,0.9441405115671601,3.8860775236447884e-7,6.861872833488626e-6
EXOC7,Endo,F,0.7604667459204856,0.0015910627855398262,0.016574236956904822
UBALD2,Endo,F,0.8168695759648024,3.624387945607169e-4,0.004456267100633883
CYGB,Endo,F,0.9441405115671601,3.8860775236447884e-7,6.861872833488626e-6
MXRA7,Endo,F,0.9441405115671601,3.8860775236447884e-7,6.861872833488626e-6
CBX4,Endo,F,0.9441405115671601,3.8860775236447884e-7,6.861872833488626e-6
EIF4A3,Endo,F,0.7264211306836504,0.0032569744655748297,0.030550715235912317
BAIAP2,Endo,F,0.9441405115671601,3.8860775236447884e-7,6.861872833488626e-6
ARL16,Endo,F,0.7753358527434332,0.0011217590511628714,0.012187665162791598
HGS,Endo,F,0.9441405115671601,3.8860775236447884e-7,6.861872833488626e-6
MRPL12,Endo,F,0.7620318608747927,0.0015353599264857662,0.01610929460899644
ARHGDIA,Endo,F,0.8036109599502681,5.346312678163618e-4,0.006191567699348145
ANAPC11,Endo,F,0.7620264239231146,0.001535550706578725,0.01610929460899644
CENPX,Endo,F,0.8168695759648024,3.624387945607179e-4,0.004456267100633883
DCXR,Endo,F,0.9441405115671601,3.8860775236447884e-7,6.861872833488626e-6
GPS1,Endo,F,0.9441405115671601,3.8860775236447884e-7,6.861872833488626e-6
FASN,Endo,F,0.9441405115671601,3.8860775236447884e-7,6.861872833488626e-6
CCDC57,Endo,F,0.8023183541515405,5.544295547127064e-4,0.006280505283712788
CYBC1,Endo,F,0.7620318608747927,0.0015353599264857603,0.01610929460899644
TYMS,Endo,F,0.8876928980166753,2.2649222888020187e-5,3.867532046694057e-4
NDC80,Endo,F,0.7264211306836504,0.0032569744655748297,0.030550715235912317
AP000919.2,Endo,F,0.9441405115671601,3.8860775236447884e-7,6.861872833488626e-6
TGIF1,Endo,F,0.9441405115671601,3.8860775236447884e-7,6.861872833488626e-6
GAPLINC,Endo,F,0.9441405115671601,3.8860775236447884e-7,6.861872833488626e-6
LINC00526,Endo,F,0.8168695759648024,3.624387945607179e-4,0.004456267100633883
LINC00667,Endo,F,0.9441405115671601,3.8860775236447884e-7,6.861872833488626e-6
ANKRD12,Endo,F,-0.7832408591584368,9.21735692864995e-4,0.01025084812934085
PPP4R1-AS1,Endo,F,0.9441405115671601,3.8860775236447884e-7,6.861872833488626e-6
PSMG2,Endo,F,0.8160588462845038,3.714776352941231e-4,0.004556645786773474
B4GALT6,Endo,F,0.8023183541515405,5.544295547127064e-4,0.006280505283712788
AC007998.3,Endo,F,0.9441405115671601,3.8860775236447884e-7,6.861872833488626e-6
C18orf21,Endo,F,0.9441405115671601,3.8860775236447884e-7,6.861872833488626e-6
EPG5,Endo,F,0.7408458357672293,0.002435747935919427,0.02390769635966369
RPL17,Endo,F,0.8265935714154694,2.6716903622014856e-4,0.0041147207435688555
MBD1,Endo,F,0.9441405115671601,3.8860775236447884e-7,6.861872833488626e-6
CXXC1,Endo,F,0.9441405115671601,3.8860775236447884e-7,6.861872833488626e-6
CCDC68,Endo,F,0.9441405115671601,3.8860775236447884e-7,6.861872833488626e-6
SEC11C,Endo,F,0.9094743100034395,6.521503930078895e-6,1.134150809316573e-4
AC022655.1,Endo,F,0.9441405115671601,3.8860775236447884e-7,6.861872833488626e-6
CNDP2,Endo,F,0.9441405115671601,3.8860775236447884e-7,6.861872833488626e-6
AC009716.1,Endo,F,0.9441405115671601,3.8860775236447884e-7,6.861872833488626e-6
CDC34,Endo,F,0.8168695759648024,3.624387945607179e-4,0.004456267100633883
RNF126,Endo,F,0.9441405115671601,3.8860775236447884e-7,6.861872833488626e-6
FAM174C,Endo,F,0.9441405115671601,3.8860775236447884e-7,6.861872833488626e-6
NDUFS7,Endo,F,0.8397423621368579,1.715510592391099e-4,0.002690055565829613
RPS15,Endo,F,0.7921876608529386,7.308749830161216e-4,0.008216398263516377
REXO1,Endo,F,0.9441405115671601,3.8860775236447884e-7,6.861872833488626e-6
MOB3A,Endo,F,0.9441405115671601,3.8860775236447884e-7,6.861872833488626e-6
