pathway,pval,padj,log2err,ES,NES,size,leadingEdge,pathway_source,analysis
Citric Acid Cycle (KEGG),0.23483634699015793,0.7293390379714978,0.04267888442721621,0.47922542502927723,1.2085653625329593,9,Pyruvic Acid;Adenosine Triphosphate (Atp),KEGG,Factor2 signed MSEA (metabolite weights)
Peptide hormone metabolism (Reactome),0.2433965608934586,0.7293390379714978,0.03617117047030495,-0.48304579037831813,-1.198050095275385,10,"Docosahexaenoic Acid;Myristic Acid;D-Glucose;Oleoyl Ethanolamide;8z,11z,14z-Eicosatrienoic Acid;L-Lysine;7(Z),10(Z),13(Z),16(Z)-Docosatetraenoic Acid",Reactome,Factor2 signed MSEA (metabolite weights)
Glycogen synthesis and degradation (WikiPathways),0.24642987916514097,0.7293390379714978,0.036589405686720144,-0.6064549452424713,-1.2088308314072613,5,Udp-Β-D-Glucose (Sodium Salt);D-Glucose;Adenosine 3'5'-Cyclic Monophosphate,WikiPathways,Factor2 signed MSEA (metabolite weights)
Metabolic reprogramming in colon cancer (WikiPathways),0.24924576467857973,0.7293390379714978,0.04160211472358708,0.4064739049894553,1.1724696763845686,14,"Pyruvic Acid;D-Glucose 6-Phosphate;D-Fructose-1,6-Bisphosphate;Inosine-5'-Monophosphate (Imp)",WikiPathways,Factor2 signed MSEA (metabolite weights)
"Incretin synthesis, secretion, and inactivation (Reactome)",0.2507987220447284,0.7293390379714978,0.035572587882033116,-0.4940215311352696,-1.1902191195581444,9,"Docosahexaenoic Acid;Myristic Acid;D-Glucose;Oleoyl Ethanolamide;8z,11z,14z-Eicosatrienoic Acid",Reactome,Factor2 signed MSEA (metabolite weights)
"Synthesis, secretion, and inactivation of Glucagon-like Peptide-1 (GLP-1) (Reactome)",0.2507987220447284,0.7293390379714978,0.035572587882033116,-0.4940215311352696,-1.1902191195581444,9,"Docosahexaenoic Acid;Myristic Acid;D-Glucose;Oleoyl Ethanolamide;8z,11z,14z-Eicosatrienoic Acid",Reactome,Factor2 signed MSEA (metabolite weights)
Abacavir ADME (Reactome),0.25521786891248627,0.7293390379714978,0.0358538738431883,-0.6026637292890062,-1.2012738994883712,5,Adenosine,Reactome,Factor2 signed MSEA (metabolite weights)
Abacavir metabolism (Reactome),0.25521786891248627,0.7293390379714978,0.0358538738431883,-0.6026637292890062,-1.2012738994883712,5,Adenosine,Reactome,Factor2 signed MSEA (metabolite weights)
Carnosine metabolism of glial cells (WikiPathways),0.25655142039198414,0.7293390379714978,0.039739442847676915,0.5778150522043763,1.204920871424667,5,Dl-Lactic Acid;N-Beta-Alanyl-L-Histidine;L-Histidine;Beta-Alanine,WikiPathways,Factor2 signed MSEA (metabolite weights)
Urea cycle and associated pathways (WikiPathways),0.263085081853816,0.7373793139283011,0.040209889749397786,0.4143434329673906,1.1667802811987558,13,Pyruvic Acid;Uridine Monophosphate;Uridine;L-(+)-Lactic Acid;Uracil;L-Aspartic Acid,WikiPathways,Factor2 signed MSEA (metabolite weights)
Tryptophan catabolism (Reactome),0.26683521029648355,0.7375028729027809,0.03981688004914653,0.4201558618658958,1.1599626763716897,12,Pyruvic Acid;L-Phenylalanine;L-Tyrosine;Tryptophan;L-(-)-Methionine;L-Isoleucine,Reactome,Factor2 signed MSEA (metabolite weights)
Azathioprine ADME (Reactome),0.2889410914347669,0.7876613314454604,0.033074911573599014,-0.5474786575722463,-1.1597194225339347,6,Guanosine 5'-Diphosphate (Gdp);L-Glutamic Acid;S-Adenosyl-L-Homocysteine;L-Glutamine,Reactome,Factor2 signed MSEA (metabolite weights)
Nicotinamide salvaging (Reactome),0.3034573882404757,0.8024966755959837,0.036095001161258244,0.5517291526696141,1.1505238032288656,5,Pyruvic Acid;L-(+)-Lactic Acid,Reactome,Factor2 signed MSEA (metabolite weights)
Activation of NMDA receptors and postsynaptic events (Reactome),0.30648114243866714,0.8024966755959837,0.03218067120600399,-0.580180755225961,-1.1564591734442582,5,Guanosine 5'-Diphosphate (Gdp);L-Glutamic Acid;Adenosine 3'5'-Cyclic Monophosphate,Reactome,Factor2 signed MSEA (metabolite weights)
Post NMDA receptor activation events (Reactome),0.30648114243866714,0.8024966755959837,0.03218067120600399,-0.580180755225961,-1.1564591734442582,5,Guanosine 5'-Diphosphate (Gdp);L-Glutamic Acid;Adenosine 3'5'-Cyclic Monophosphate,Reactome,Factor2 signed MSEA (metabolite weights)
Vitamin B12 metabolism (WikiPathways),0.32058613295210864,0.8037065613502815,0.030860659389615068,-0.4850887158006304,-1.1230939151275827,8,"L-Ascorbic Acid;D-Glucose;S-Adenosyl-L-Homocysteine;D,L-Serine;L-Serine",WikiPathways,Factor2 signed MSEA (metabolite weights)
Urea cycle (Reactome),0.32255149981929887,0.8037065613502815,0.030955342541650964,-0.5339779288220375,-1.131120942696548,6,L-Ornithine;L-Glutamic Acid,Reactome,Factor2 signed MSEA (metabolite weights)
Galactose Metabolism (KEGG),0.32485098578633653,0.8037065613502815,0.03551405283279296,0.4251786085616339,1.1052159459094086,10,Uridine 5'-Triphosphate Sodium Salt;Adenosine Triphosphate (Atp);D-Glucose 6-Phosphate;Uridine 5'-Diphosphate,KEGG,Factor2 signed MSEA (metabolite weights)
Sphingolipid pathway (WikiPathways),0.32625411937019405,0.8037065613502815,0.03098705135093878,-0.5710610475437768,-1.1382810978821267,5,"D,L-Serine;L-Serine;D-Erythro-Sphinganine;O-Phosphocolamine",WikiPathways,Factor2 signed MSEA (metabolite weights)
Glyoxylate metabolism (WikiPathways),0.3283412752439301,0.8037065613502815,0.035082382211832845,0.45492791508538827,1.1106010908632074,8,Pyruvic Acid;L-Hydroxyproline,WikiPathways,Factor2 signed MSEA (metabolite weights)
Arsenic metabolism and reactive oxygen species generation (WikiPathways),0.33174661296228486,0.8037065613502815,0.0306732603982164,-0.5684175401495941,-1.133011863512435,5,Cytidine 2'_3'-Cyclic Phosphate;L-Glutathione Oxidized;S-Adenosyl-L-Homocysteine,WikiPathways,Factor2 signed MSEA (metabolite weights)
Glycolysis (Reactome),0.33747178329571104,0.8037065613502815,0.03441742715306239,0.4702654290694065,1.097518697354501,7,"Pyruvic Acid;D-Fructose-1,6-Bisphosphate",Reactome,Factor2 signed MSEA (metabolite weights)
15q25 copy number variation (WikiPathways),0.33925302087147563,0.8037065613502815,0.030255900081709516,-0.5650761417921296,-1.1263515412804155,5,Adenosine,WikiPathways,Factor2 signed MSEA (metabolite weights)
Mitochondrial biogenesis (Reactome),0.37239106554375684,0.8426527198339279,0.02855544921818893,-0.551294250380835,-1.0988804564392838,5,Arachidonic Acid;Nicotinamide;Linoleic Acid,Reactome,Factor2 signed MSEA (metabolite weights)
Transcriptional activation of mitochondrial biogenesis (Reactome),0.37239106554375684,0.8426527198339279,0.02855544921818893,-0.551294250380835,-1.0988804564392838,5,Arachidonic Acid;Nicotinamide;Linoleic Acid,Reactome,Factor2 signed MSEA (metabolite weights)
"Sensory perception of sweet, bitter, and umami (glutamate) taste (Reactome)",0.3731611051309652,0.8426527198339279,0.02815621163649068,-0.4861658548112329,-1.0800101046683197,7,Guanosine 5'-Diphosphate (Gdp);D-Glucose;L-Glutamic Acid,Reactome,Factor2 signed MSEA (metabolite weights)
Lysine catabolism (Reactome),0.379978471474704,0.8426527198339279,0.027835416920069887,-0.4828805002061244,-1.0727117390265912,7,Guanosine 5'-Diphosphate (Gdp);L-Glutamic Acid;2-Oxoadipic Acid;L-Pipecolinic Acid;L-Lysine,Reactome,Factor2 signed MSEA (metabolite weights)
Sphingolipid metabolism overview (WikiPathways),0.3829056740151789,0.8426527198339279,0.027827081366026293,-0.5087982469729325,-1.077783035017875,6,"D,L-Serine;L-Serine;D-Erythro-Sphinganine;O-Phosphocolamine",WikiPathways,Factor2 signed MSEA (metabolite weights)
Biogenic amine synthesis (WikiPathways),0.3859006637674525,0.8426527198339279,0.03204279730771802,0.41853234049535537,1.0555026161052181,9,L-Phenylalanine;Γ-Aminobutyric Acid;Acetylcholine;Choline;L-Tyrosine;Tryptophan,WikiPathways,Factor2 signed MSEA (metabolite weights)
Serine biosynthesis (Reactome),0.3924245760845629,0.8426527198339279,0.03098705135093878,0.5108370674054535,1.0652513153923313,5,Pyruvic Acid;Phosphoserine,Reactome,Factor2 signed MSEA (metabolite weights)
