feature,Compound.ID,Name,weight
Ps(22:0_22:4),C8-Neg-003577,Ps(22:0_22:4),0.11788556724786758
Vitamin D3,C8-Pos-001060,Vitamin D3,-0.11755739152431488
Cytidine 5'-Triphosphate,Amide-Pos-001770,Cytidine 5'-Triphosphate,0.11665433645248412
Dgdg(2:0_27:3),C8-Neg-003430,Dgdg(2:0_27:3),0.11628982424736024
Citrulline,Amide-Pos-000621,Citrulline,0.1134100928902626
"17-(1-Hydroxyethyl)-10,13-Dimethyl-2,3,6,7,8,9,10,11,12,13,14,15,16,17-Tetradecahydro-1h-Cyclopenta[A]Phenanthren-3-One",C8-Pos-000495,"17-(1-Hydroxyethyl)-10,13-Dimethyl-2,3,6,7,8,9,10,11,12,13,14,15,16,17-Tetradecahydro-1h-Cyclopenta[A]Phenanthren-3-One",-0.11338668316602708
Pe(P-19:4_23:5),C8-Pos-004505,Pe(P-19:4_23:5),-0.11196426302194595
Tg(29:3cooh_2:0),C8-Pos-003050,Tg(29:3cooh_2:0),-0.11130993813276292
2-Furoic Acid,Amide-Neg-000149,2-Furoic Acid,-0.11058319360017776
Cytidine 2'_3'-Cyclic Phosphate,Amide-Neg-001726,Cytidine 2'_3'-Cyclic Phosphate,-0.1104108989238739
Phosphoserine,Amide-Pos-000781,Phosphoserine,0.10982541739940643
L-Phenylalanine,C18-Pos-000721,L-Phenylalanine,0.10960689187049866
Pg(24:1_22:7),C8-Neg-003604,Pg(24:1_22:7),-0.10954120010137558
Guanosine 5'-Diphosphate (Gdp),Amide-Pos-001703,Guanosine 5'-Diphosphate (Gdp),-0.10947710275650024
Glutathionesulfonic Acid,Amide-Pos-001446,Glutathionesulfonic Acid,0.10900194197893144
Pe(O-26:3_7:0),C8-Pos-003685,Pe(O-26:3_7:0),0.10765496641397476
D-Pantothenic Acid,C18-Pos-000992,D-Pantothenic Acid,0.10740698128938676
N-Acetyl-L-Methionine,Amide-Neg-000866,N-Acetyl-L-Methionine,-0.10681182891130447
D-Histidine Methyl Ester,Amide-Pos-000604,D-Histidine Methyl Ester,0.10673896968364716
