pathway,pval,padj,log2err,ES,NES,size,leadingEdge,analysis,pathway_source
Pyruvate metabolism (KEGG),0.3253379021511517,0.9449040499000209,0.03178233709060047,0.46392844113473475,1.1164954488275758,9,L-(+)-Lactic Acid;Adenosine 5'-Diphosphate,GW (limma t-statistic),KEGG
Methionine metabolism leading to sulfur amino acids and related disorders (WikiPathways),0.32746331236897275,0.9449040499000209,0.033538078140941,-0.4686608957884987,-1.1136422853664796,8,Adenosine;Adenosine Triphosphate (Atp);L-(-)-Methionine,GW (limma t-statistic),WikiPathways
Phospholipid Biosynthesis (KEGG),0.33056305838354455,0.9449040499000209,0.033173770403489705,-0.5216566083364471,-1.1280481725187337,6,Dl-Dipalmitoylphosphatidylcholine;1-Palmitoyl-Sn-Glycero-3-Phosphocholine;Choline,GW (limma t-statistic),KEGG
Na+/Cl- dependent neurotransmitter transporters (Reactome),0.33193647992942216,0.9449040499000209,0.03428268500329419,-0.34534036617617186,-1.0859337895239967,21,"D,L-Serine;Γ-Aminobutyric Acid;L-(-)-Methionine;L-Threonine",GW (limma t-statistic),Reactome
Sulfur amino acid metabolism (Reactome),0.3599654502267329,0.9449040499000209,0.03226173823824839,-0.3800416778168313,-1.0719412067162462,14,"D,L-Serine;Adenosine;L-(-)-Methionine",GW (limma t-statistic),Reactome
"Gamma-glutamyl cycle for the biosynthesis and degradation of glutathione, including diseases (WikiPathways)",0.36018363939899833,0.9449040499000209,0.03159295100441035,-0.5474563079687441,-1.108172208076581,5,Adenosine Triphosphate (Atp),GW (limma t-statistic),WikiPathways
Aspirin ADME (Reactome),0.3628659476117103,0.9449040499000209,0.029948745572915252,0.4866254744452637,1.0853381010169736,7,L-(+)-Lactic Acid;Ethyl Acetoacetate,GW (limma t-statistic),Reactome
Role of carnosine in muscle contraction (WikiPathways),0.36442966964471224,0.9449040499000209,0.031286630054567735,-0.5041178667565006,-1.0901217951444884,6,Γ-Aminobutyric Acid,GW (limma t-statistic),WikiPathways
Urea cycle and related diseases (WikiPathways),0.36671514647828796,0.9449040499000209,0.031168149079895725,-0.5029406601634179,-1.0875761631621028,6,L(+)-Ornithine;L-Aspartic Acid;N-Acetylglutamic Acid,GW (limma t-statistic),WikiPathways
Defective SLC29A3 causes histiocytosis-lymphadenopathy plus syndrome (HLAS) (Reactome),0.36692291709952213,0.9449040499000209,0.031157429115515403,-0.5026492558218006,-1.0869460204019572,6,Adenosine;Inosine,GW (limma t-statistic),Reactome
Nicotinate and nicotinamide metabolism (KEGG),0.37480886850152906,0.9449040499000209,0.02921516053780483,0.4593838901676701,1.0692758000814047,8,Nicotinamide;L-Glutamine,GW (limma t-statistic),KEGG
beta-Alanine metabolism (KEGG),0.3748334285170379,0.9449040499000209,0.029141225826737744,0.4453308416955225,1.071738255062496,9,D-Pantothenic Acid;Uracil;N-Beta-Alanyl-L-Histidine;L-Histidine;1-Methylhistidine;Anserine,GW (limma t-statistic),KEGG
Pyrimidine salvage (Reactome),0.37557781201849,0.9449040499000209,0.029317502411925288,0.4806901994892952,1.0721004462125927,7,Uracil;Pseudouridine;5'-Cytidylic Acid;Adenosine 5'-Diphosphate;Uridine,GW (limma t-statistic),Reactome
Nitrogen metabolism (KEGG),0.38104407359863074,0.9449040499000209,0.03099763747096388,-0.39136860674646,-1.0567608313769754,12,"D,L-Serine;Adenosine Triphosphate (Atp)",GW (limma t-statistic),KEGG
Lactate shuttle in glial cells (WikiPathways),0.38869257950530034,0.9449040499000209,0.030086586780604725,-0.46228639059532983,-1.0522695004943539,7,D-Glucose 6-Phosphate;Glucose 1-Phosphate;Dl-Lactic Acid,GW (limma t-statistic),WikiPathways
Metabolic disorders of biological oxidation enzymes (Reactome),0.3959642109270893,0.9449040499000209,0.02815621163649068,0.43848607157815567,1.0552655536570403,9,L-Pyroglutamic Acid;Vitamin D3;Arachidonic Acid,GW (limma t-statistic),Reactome
Thermogenesis (WikiPathways),0.3973288814691152,0.9449040499000209,0.029754270354770764,-0.5321582020498979,-1.0772054705146767,5,Adenosine Triphosphate (Atp);Dl-Carnitine,GW (limma t-statistic),WikiPathways
"Sensory perception of sweet, bitter, and umami (glutamate) taste (Reactome)",0.3975346687211094,0.9449040499000209,0.02829369255600756,0.47103782585669707,1.0505724140423642,7,Inosine-5'-Monophosphate (Imp);Guanosine-5'-Monophosphate;Guanosine 5'-Diphosphate (Gdp);L-Glutamic Acid,GW (limma t-statistic),Reactome
Neurodegeneration with brain iron accumulation (NBIA) subtypes pathway (WikiPathways),0.3989983305509182,0.9449040499000209,0.029677269620279202,-0.531288317275743,-1.0754446320387732,5,"D,L-Serine",GW (limma t-statistic),WikiPathways
Acetylcholine synthesis (WikiPathways),0.41138583004363183,0.9449040499000209,0.029040238666206187,-0.48148310432424724,-1.0411756071942893,6,Dl-Dipalmitoylphosphatidylcholine;Choline,GW (limma t-statistic),WikiPathways
Citric acid cycle (TCA cycle) (Reactome),0.41563944530046226,0.9449040499000209,0.027506123098884477,0.46412736714275526,1.0351597722231176,7,Nicotinamide;Succinic Acid;Adenosine 5'-Diphosphate;S-Adenosyl-L-Homocysteine;Guanosine 5'-Diphosphate (Gdp),GW (limma t-statistic),Reactome
Glycine metabolism (WikiPathways),0.42987741533347185,0.9449040499000209,0.028250573376528344,-0.4741871387548076,-1.0253985605781026,6,"D,L-Serine",GW (limma t-statistic),WikiPathways
Degradation of cysteine and homocysteine (Reactome),0.4306110793832096,0.9449040499000209,0.026687494608650497,0.4263221006230513,1.0259916031791894,9,Hypotaurine;2-Oxobutanoic Acid;Taurine,GW (limma t-statistic),Reactome
Synthesis of substrates in N-glycan biosythesis (Reactome),0.44351697273233165,0.9449040499000209,0.02574018311440753,0.36232744953706997,1.0090684424328087,15,Cytidine 5'-Triphosphate;L-Glutamine;D-Mannose,GW (limma t-statistic),Reactome
GABA metabolism (aka GHB) (WikiPathways),0.44803476946334087,0.9449040499000209,0.025882484753180456,0.4075691405298313,1.0099931264417374,10,N-Acetylputrescine;Glycolic Acid;Uracil;Succinic Acid;Dl-Glutamine,GW (limma t-statistic),WikiPathways
Metabolic reprogramming in colon cancer (WikiPathways),0.4528020852727611,0.9449040499000209,0.025453399475590274,0.36811367682907487,1.0042014056824795,14,"L-(+)-Lactic Acid;Inosine-5'-Monophosphate (Imp);Dl-Glutamine;D-Fructose-1,6-Bisphosphate",GW (limma t-statistic),WikiPathways
"Metabolism of ingested SeMet, Sec, MeSec into H2Se (Reactome)",0.4550718421616985,0.9449040499000209,0.02780210690749211,-0.38042742514780903,-0.998203969611928,11,"D,L-Serine;Adenosine",GW (limma t-statistic),Reactome
Aerobic glycolysis (WikiPathways),0.4552752293577982,0.9449040499000209,0.025804020104781222,0.4292365910404303,0.9991040372387697,8,"L-(+)-Lactic Acid;D-Fructose-1,6-Bisphosphate;D-(+)-Glucose",GW (limma t-statistic),WikiPathways
Glutathione metabolism (KEGG),0.4559748427672956,0.9449040499000209,0.027368682586879602,-0.41904875917182427,-0.995752839713559,8,Adenosine Triphosphate (Atp);L-Glutathione Oxidized,GW (limma t-statistic),KEGG
The phototransduction cascade (Reactome),0.46974123539232054,0.9449040499000209,0.026771642683855523,-0.4961072477168802,-1.0042303945406335,5,L-(-)-Methionine,GW (limma t-statistic),Reactome
