Name,Mean_log2_abundance,Compound.ID,Super.Class,Class
Dibutyl Sebacate,17.54339282176094,C8-Pos-000259,Lipids and lipid-like molecules,Fatty Acyls
2-(5-Oxovaleryl)Phosphatidylcholine,17.528461273010482,C8-Pos-000442,Lipids and lipid-like molecules,Glycerophospholipids
5-(Hydroxymethyl)-3-(1-Hydroxy-8-Methylnonyl)Oxolan-2-One,17.491152836429027,C8-Pos-000654,Lipids and lipid-like molecules,Fatty Acyls
Dg 18:1_20:4,17.48608864097552,C8-Pos-000539,Lipids and lipid-like molecules,Glycerolipids
Phosphatidylethanolamine 16:0-18:1,17.47293942428889,C8-Neg-000110,Lipids and lipid-like molecules,Glycerophospholipids
1-Oleoyl-Sn-Glycero-3-Phosphocholine,17.468936944758532,C8-Pos-000038,Lipids and lipid-like molecules,Glycerophospholipids
Acetylcholine,17.454440692206745,Amide-Pos-000059,Organic nitrogen compounds,Organonitrogen compounds
Trans-Traumatic Acid,17.450408867040448,C18-Neg-000209,Lipids and lipid-like molecules,Fatty Acyls
Nicotinamide,17.449856955967064,Amide-Pos-000173,Organoheterocyclic compounds,Pyridines and derivatives
Betaine,17.427355648458907,Amide-Pos-000052,Organic acids and derivatives,Carboxylic acids and derivatives
Cortisol,17.407063679224265,C8-Pos-000701,Lipids and lipid-like molecules,Steroids and steroid derivatives
"D-Myo-Inositol-1,2-Diphosphate",17.334644496763946,Amide-Pos-000370,Organic oxygen compounds,Organooxygen compounds
Cyclo(Leucylprolyl),17.32755462117981,C8-Pos-000591,Organic acids and derivatives,Carboxylic acids and derivatives
3-[(2-Hydroxyethyl)Amino]-1-Propanol,17.320041738285187,Amide-Pos-000097,Organic nitrogen compounds,Organonitrogen compounds
Octinoxate,17.31846776040353,C8-Pos-000078,Phenylpropanoids and polyketides,Cinnamic acids and derivatives
"1-(5z,8z,11z,14z-Eicosatetraenoyl)-Sn-Glycero-3-Phosphocholine",17.290934212792134,C18-Pos-000265,Lipids and lipid-like molecules,Glycerophospholipids
"1,2-Didocosahexaenoyl-Sn-Glycero-3-Phosphocholine",17.220229772721158,C8-Pos-000322,Lipids and lipid-like molecules,Glycerophospholipids
Docosahexaenoic Acid,17.17785885078306,C8-Neg-000002,Lipids and lipid-like molecules,Fatty Acyls
Methasterone,17.176309781902685,C8-Pos-000124,Lipids and lipid-like molecules,Steroids and steroid derivatives
2-Docosahexaenoyl-1-Stearoyl-Sn-Glycero-3-Phosphoethanolamine,17.11746405426688,C8-Pos-000092,Lipids and lipid-like molecules,Glycerophospholipids
Pc 20:4_22:4,17.087253330862236,C8-Pos-000105,Lipids and lipid-like molecules,Glycerophospholipids
Acetyl-L-Carnitine,17.069550497718474,Amide-Pos-000085,Lipids and lipid-like molecules,Fatty Acyls
1-Stearoyl-2-Docosahexaenoyl-Sn-Glycero-3-Phosphocholine,17.067738331675486,C8-Pos-000046,Lipids and lipid-like molecules,Glycerophospholipids
Carvone,17.037734739349887,C18-Pos-000230,Lipids and lipid-like molecules,Prenol lipids
Lpc O-18:1,17.036213786167476,C8-Pos-000423,Lipids and lipid-like molecules,Glycerophospholipids
Pe 16:0_24:5,17.02542737115664,C8-Pos-000116,Lipids and lipid-like molecules,Glycerophospholipids
7-Methylguanosine,17.024030083638976,Amide-Pos-000315,"Nucleosides, nucleotides, and analogues",Purine nucleosides
"2,6-Diphenylphenol",17.00679549477638,C8-Pos-000700,Benzenoids,Benzene and substituted derivatives
"2,4-Bis(1,1-Dimethylethyl)Phenol Phosphate",16.970374043508208,C8-Neg-000006,Organic acids and derivatives,Organic phosphoric acids and derivatives
Bilirubin,16.95637961065177,C8-Pos-000612,Organoheterocyclic compounds,Tetrapyrroles and derivatives
Arachidonoyl-Carnitine; Lc-Tdda; Ce10,16.929577691221144,C8-Pos-000104,Lipids and lipid-like molecules,Fatty Acyls
Pc 20:4_22:6,16.89515503202971,C8-Pos-000094,Lipids and lipid-like molecules,Glycerophospholipids
Sm 12:1;2o/26:1,16.86150288881592,C8-Pos-000628,Organic nitrogen compounds,Organonitrogen compounds
Phthalic Anhydride,16.859359452417223,C18-Pos-000220,Organoheterocyclic compounds,Benzofurans
Spectral Match To 1-Octadecanoyl-Sn-Glycero-3-Phosphocholine From Nist14,16.848799945694363,C8-Pos-000042,Lipids and lipid-like molecules,Glycerophospholipids
"1,3,5-Tris(3,5-Di-Tert-Butyl-4-Hydroxybenzyl)-1,3,5-Triazine-2,4,6(1h,3h,5h)-Trione",16.84670088775617,C8-Pos-000101,Benzenoids,Benzene and substituted derivatives
L-Phenylalanine,16.82811983951381,Amide-Pos-000118,Organic acids and derivatives,Carboxylic acids and derivatives
Palmitoyl Sphingomyelin,16.826009808073366,C8-Pos-000123,Lipids and lipid-like molecules,Sphingolipids
Pc 16:1_18:2,16.791201898532016,C8-Pos-000044,Lipids and lipid-like molecules,Glycerophospholipids
Isocytosine,16.770755033898176,Amide-Pos-000504,Organoheterocyclic compounds,Diazines
Riboflavin,16.757105272950394,Amide-Pos-000486,Organoheterocyclic compounds,Pteridines and derivatives
"3-Amino-2,2-Dimethylpropionic Acid Ethyl Ester",16.72845899158776,Amide-Pos-000400,Organic acids and derivatives,Carboxylic acids and derivatives
N-Acetyl-1-Aspartylglutamic Acid,16.715881333883218,Amide-Pos-000163,Organic acids and derivatives,Carboxylic acids and derivatives
Phosphatidylinositol 18:1-20:4,16.700522180668933,C8-Neg-000007,Lipids and lipid-like molecules,Glycerophospholipids
Pe 20:2_20:2,16.692898055928136,C8-Pos-000121,Lipids and lipid-like molecules,Glycerophospholipids
Glu-Asp,16.690391802787012,Amide-Pos-000535,Organic acids and derivatives,Peptidomimetics
Creatinine,16.690162403419794,Amide-Pos-000049,Organic acids and derivatives,Carboxylic acids and derivatives
Leucine,16.65597565507302,Amide-Pos-000104,Organic acids and derivatives,Carboxylic acids and derivatives
Linoleoylcarnitine,16.653373237428035,C8-Pos-000159,Lipids and lipid-like molecules,Fatty Acyls
Bis(Methylbenzylidene)Sorbitol,16.63138411766422,C8-Pos-000051,Phenylpropanoids and polyketides,Cinnamyl alcohols
Cytidine 5'-Diphosphate,16.58142387218485,Amide-Pos-000541,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleotides
Norgestrel,16.578512067125327,C8-Pos-000681,Lipids and lipid-like molecules,Steroids and steroid derivatives
Nitrilotriacetic Acid,16.5206137411533,Amide-Neg-000043,Organic acids and derivatives,Carboxylic acids and derivatives
1h-Imidazole-4-Carboxylic Acid,16.449323274169014,Amide-Neg-000180,Organoheterocyclic compounds,Azoles
Hexadecanedioic Acid,16.44857991921504,C18-Neg-000210,Lipids and lipid-like molecules,Fatty Acyls
"2,6-Di-Tert-Butyl-4-Nitrophenol",16.44287324613037,C8-Neg-000151,Benzenoids,Phenols
Pc 14:0_15:0,16.41655452426295,C8-Pos-000221,Lipids and lipid-like molecules,Glycerophospholipids
Putrescine,16.3970602708208,Amide-Pos-000358,Organic nitrogen compounds,Organonitrogen compounds
"8z,11z,14z-Eicosatrienoic Acid",16.37937060338057,C8-Neg-000010,Lipids and lipid-like molecules,Fatty Acyls
Paracetamol,16.33714082356548,Amide-Pos-000359,Benzenoids,Phenols
"6-Methyl[1,2,4]Triazolo[4,3-B]Pyridazin-8-Ol",16.329548636369108,C18-Pos-000235,Organoheterocyclic compounds,Triazolopyridazines
1-Deoxy-1-(Methylamino)-D-Galactitol,16.22789107852842,Amide-Pos-000223,Organic oxygen compounds,Organooxygen compounds
2-Decylmalonic Acid,16.2178548674464,C8-Pos-000696,Lipids and lipid-like molecules,Fatty Acyls
S-Adenosylmethionine,16.204329965750293,Amide-Pos-000320,"Nucleosides, nucleotides, and analogues",5'-deoxyribonucleosides
"Spectral Match To L-Methionine, N-Acetyl- From Nist14",16.188239465408998,C18-Pos-000263,Organic acids and derivatives,Carboxylic acids and derivatives
1-Palmitoyl-2-Linoleoyl-Sn-Glycero-3-Phosphocholine,16.18667501292195,C8-Pos-000011,Lipids and lipid-like molecules,Glycerophospholipids
Cis-4-Hydroxy-D-Proline,16.169159348814823,Amide-Pos-000217,Organic acids and derivatives,Carboxylic acids and derivatives
Citicoline,16.124506235807807,Amide-Neg-000580,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleotides
Pc 20:2_20:2,16.1201901024714,C8-Pos-000073,Lipids and lipid-like molecules,Glycerophospholipids
Pg 16:1_18:1,16.11437834446426,C8-Pos-000627,Lipids and lipid-like molecules,Glycerophospholipids
Nootkatone,16.096989368838255,C8-Pos-000451,Lipids and lipid-like molecules,Prenol lipids
Pro-Asp,16.07605138918535,Amide-Pos-000408,Organic acids and derivatives,Carboxylic acids and derivatives
5-Methyl D-Glutamate,15.993029599877216,Amide-Pos-000168,Organic acids and derivatives,Carboxylic acids and derivatives
Phosphatidylglyceride 18:1-22:6,15.990669500602399,C8-Neg-000111,Lipids and lipid-like molecules,Glycerophospholipids
N-Acetyl-Serine,15.941872436972892,Amide-Pos-000377,Organic acids and derivatives,Carboxylic acids and derivatives
Pc O-40:4,15.93136569898555,C8-Pos-000429,Lipids and lipid-like molecules,Glycerophospholipids
2-Docosahexaenoyl-1-Stearoyl-Sn-Glycero-3-Phosphoserine,15.922796412743256,C8-Pos-000032,Lipids and lipid-like molecules,Glycerophospholipids
Citric Acid,15.875069062723282,Amide-Neg-000046,Organic acids and derivatives,Carboxylic acids and derivatives
N-Oleoyl-D-Erythro-Sphingosylphosphorylcholine,15.81687544895473,Amide-Pos-000503,Organic compounds,Lipids and lipid-like molecules
Choline,15.724977636763233,Amide-Pos-000001,Organic nitrogen compounds,Organonitrogen compounds
"Didodecyl 3,3'-Thiodipropionate Oxide",15.69068657793115,C8-Pos-000013,Organic compounds,Organic acids and derivatives
Methyl Picolinate,15.661676005388035,Amide-Pos-000500,Organoheterocyclic compounds,Pyridines and derivatives
S-Adenosylhomocysteine,15.63824608016288,Amide-Pos-000512,"Nucleosides, nucleotides, and analogues",5'-deoxyribonucleosides
(-)-Corey Lactone,15.636077153311868,C18-Neg-000173,Organoheterocyclic compounds,Lactones
Triisopropanolamine,15.515518350757116,Amide-Pos-000340,Organic nitrogen compounds,Organonitrogen compounds
N-Acetyl-D-Glucosamine 6-Phosphate,15.11876552798875,Amide-Pos-000544,Organic oxygen compounds,Organooxygen compounds
Ophthalmate,14.966167280392238,Amide-Pos-000405,Organic acids and derivatives,Carboxylic acids and derivatives
5-Nitroindoline,14.83379567470987,Amide-Pos-000494,Organoheterocyclic compounds,Indoles and derivatives
Ps 40:4,14.7641021226033,C8-Neg-000014,Lipids and lipid-like molecules,Glycerophospholipids
"Meso-Butane-1,2,3,4-Tetracarboxylic Acid",14.70889194647594,Amide-Neg-000125,Organic acids and derivatives,Carboxylic acids and derivatives
D-(+)-Xylose,14.42167766898061,Amide-Neg-000267,Organic oxygen compounds,Organooxygen compounds
Erucamide,14.07342013906302,C8-Pos-000003,Lipids and lipid-like molecules,Fatty Acyls
