Name,Mean_log2_abundance,Compound.ID,Super.Class,Class
Spectral Match To 1-Hexadecylpyridinium From Nist14,23.237832548552504,C8-Pos-000225,Organoheterocyclic compounds,Pyridines and derivatives
Mono(2-Ethylhexyl) Phthalate (Mehp),23.236593181341796,C8-Pos-000072,Benzenoids,Benzene and substituted derivatives
Phosphatidylethanolamine 18:0-20:4,23.23564245658561,C8-Neg-000021,Lipids and lipid-like molecules,Glycerophospholipids
D-Glucose 6-Phosphate,23.231835854988958,Amide-Neg-000280,Organic oxygen compounds,Organooxygen compounds
Β-Alanylleucine,23.197010514571975,Amide-Pos-000480,Organic compounds,Organic acids and derivatives
Lpe O-18:2,23.17631567634781,C8-Pos-000281,Lipids and lipid-like molecules,Glycerophospholipids
Peg N7,23.16216441767287,C18-Pos-000184,Organic oxygen compounds,Organooxygen compounds
11-Hydroxy-Δ(9)-Thc,23.148939379850045,C8-Pos-000426,Organoheterocyclic compounds,Benzopyrans
Pe O-16:1_20:4,23.14780488124674,C8-Pos-000079,Lipids and lipid-like molecules,Glycerophospholipids
Cer 18:1;2o/18:0,23.10622405797102,C8-Pos-000404,Lipids and lipid-like molecules,Sphingolipids
Acetyl-Β-Methylcholine,23.09996007925542,Amide-Pos-000176,Organic nitrogen compounds,Organonitrogen compounds
"1-(1z-Octadecenyl)-2-(4z,7z,10z,13z,16z,19z-Docosahexaenoyl)-Sn-Glycero-3-Phosphoethanolamine",23.063851260514593,C8-Neg-000175,Lipids and lipid-like molecules,Glycerophospholipids
Cis-7-Hexadecenoic Acid,23.053956737693248,C8-Neg-000013,Lipids and lipid-like molecules,Fatty Acyls
Guanosine Triphosphate (Gtp),23.04318052849524,Amide-Neg-000553,"Nucleosides, nucleotides, and analogues",Purine nucleotides
2-Oleoyl-1-Stearoyl-Sn-Glycero-3-Phosphoserine,23.02937372306598,Amide-Pos-000310,Lipids and lipid-like molecules,Glycerophospholipids
Cer 18:1;2o/14:0,23.017698598798837,C8-Pos-000555,Lipids and lipid-like molecules,Sphingolipids
Lidocaine,22.98400331302404,C8-Pos-000095,Benzenoids,Benzene and substituted derivatives
"Spectral Match To Decanedioic Acid, Bis(2-Ethylhexyl) Ester From Nist14",22.97522611256424,C8-Pos-000243,Lipids and lipid-like molecules,Fatty Acyls
Acetohydroxamic Acid,22.960179126402313,Amide-Neg-000370,Organic acids and derivatives,Carboxylic acids and derivatives
N-Ethylglycine,22.951899870755224,Amide-Neg-000343,Organic acids and derivatives,Carboxylic acids and derivatives
Glycyl-L-Leucine,22.947651434057537,C18-Pos-000249,Organic acids and derivatives,Carboxylic acids and derivatives
Pc 20:0_22:6,22.938433616364787,C8-Pos-000172,Lipids and lipid-like molecules,Glycerophospholipids
Pe O-16:1_22:6,22.933725558795512,C8-Pos-000082,Lipids and lipid-like molecules,Glycerophospholipids
Pyruvic Acid,22.93358997841836,Amide-Neg-000228,Organic acids and derivatives,Keto acids and derivatives
Pe(16:1_20:4),22.928647728163313,C8-Pos-000271,Lipids and lipid-like molecules,Glycerophospholipids
D-(+)-Mannose,22.92387769516591,Amide-Neg-000037,Organic oxygen compounds,Organooxygen compounds
Triethylene Glycol Monomethyl Ether,22.90976518930455,C18-Pos-000228,Organic oxygen compounds,Organooxygen compounds
Spectral Match To Decaethylene Glycol From Nist14,22.825158971186543,C18-Pos-000232,Organic oxygen compounds,Organooxygen compounds
1-Stearoyl-2-Oleoyl-Sn-Glycero-3-Phosphoethanolamine,22.81035702327843,C8-Pos-000195,Lipids and lipid-like molecules,Glycerophospholipids
Pe 18:0_20:3,22.807304715244552,C8-Neg-000081,Lipids and lipid-like molecules,Glycerophospholipids
Lauric Acid Ethyl Ester,22.78511039780341,C8-Pos-000430,Lipids and lipid-like molecules,Fatty Acyls
Fentanyl,22.755833516303895,C8-Pos-000685,Organoheterocyclic compounds,Piperidines
Pe 18:1_18:1,22.755019384662223,C8-Pos-000181,Lipids and lipid-like molecules,Glycerophospholipids
"N,N'-Diphenylurea",22.75265958750219,C8-Pos-000439,Benzenoids,Benzene and substituted derivatives
N-Acetylalanine,22.75242940240997,Amide-Neg-000251,Organic acids and derivatives,Carboxylic acids and derivatives
Myristic Acid,22.751467676359482,C8-Neg-000087,Lipids and lipid-like molecules,Fatty Acyls
"[2,2'-Biquinoline]-4,4'-Dicarboxylic Acid",22.749544414785706,Amide-Pos-000495,Organoheterocyclic compounds,Quinolines and derivatives
"Trans-2-Butene-1,4-Dicarboxylic Acid",22.73041860460384,Amide-Pos-000477,Lipids and lipid-like molecules,Fatty Acyls
Basic Red 9,22.728593846838823,C8-Pos-000597,Benzenoids,Benzene and substituted derivatives
Guanosine 5'-Diphosphate (Gdp),22.717998961916617,Amide-Pos-000283,"Nucleosides, nucleotides, and analogues",Purine nucleotides
"17-(1-Hydroxyethyl)-10,13-Dimethyl-2,3,6,7,8,9,10,11,12,13,14,15,16,17-Tetradecahydro-1h-Cyclopenta[A]Phenanthren-3-One",22.706245034091015,C8-Pos-000157,Lipids and lipid-like molecules,Steroids and steroid derivatives
Octyl Decyl Phthalate,22.70200555025376,C8-Pos-000049,Benzenoids,Benzene and substituted derivatives
L-Threonic Acid,22.7005429262251,Amide-Neg-000054,Organic oxygen compounds,Organooxygen compounds
Lpe 24:4,22.675712864442264,C8-Pos-000520,Lipids and lipid-like molecules,Glycerophospholipids
Anacardic Acid,22.670095471618154,C8-Neg-000213,Benzenoids,Benzene and substituted derivatives
"L-Gulono-1,4-Lactone",22.661392445392128,Amide-Neg-000152,Organic compounds,Organoheterocyclic compounds
Adrenic Acid,22.658330068405114,C8-Neg-000005,Lipids and lipid-like molecules,Fatty Acyls
Pe O-16:1_18:1,22.640509190340858,C8-Pos-000246,Lipids and lipid-like molecules,Glycerophospholipids
2-Pyrrolidinone,22.63467926152918,Amide-Pos-000294,Organoheterocyclic compounds,Pyrrolidines
"8-Hydroxy-16-Methyloxacyclohexadeca-3,11,13-Trien-2-One",22.61888322625221,C8-Pos-000477,Phenylpropanoids and polyketides,Macrolides and analogues
Hypoxanthine,22.603186485062565,Amide-Pos-000019,Organoheterocyclic compounds,Imidazopyrimidines
Bis(7-Methyloctyl) Adipate,22.5812318501013,C8-Pos-000410,Lipids and lipid-like molecules,Fatty Acyls
Adenylosuccinic Acid,22.578450672732444,Amide-Pos-000463,"Nucleosides, nucleotides, and analogues",Purine nucleotides
Palmitoleic Acid,22.578134196646502,C8-Pos-000353,Lipids and lipid-like molecules,Fatty Acyls
Pe 22:4_22:5,22.572690813980174,C8-Pos-000227,Lipids and lipid-like molecules,Glycerophospholipids
"2,2'-(Tetradecylimino)Diethanol",22.57048147406992,C18-Pos-000221,Organic nitrogen compounds,Organonitrogen compounds
1-Stearoylglycerol,22.56756247991154,C8-Pos-000005,Lipids and lipid-like molecules,Glycerolipids
Trans-3-Indoleacrylic Acid,22.53654209089948,C18-Pos-000090,Organoheterocyclic compounds,Indoles and derivatives
Nadh,22.505685455975488,Amide-Pos-000530,Organic compounds,"Nucleosides, nucleotides, and analogues"
Phosphatidylinositol 16:0-20:4,22.501021792863096,C8-Neg-000019,Lipids and lipid-like molecules,Glycerophospholipids
Sm 8:1;2o/28:1,22.49762383931063,C8-Pos-000152,Organic nitrogen compounds,Organonitrogen compounds
Glycerol 3-Phosphate,22.481394447522774,Amide-Neg-000546,Lipids and lipid-like molecules,Glycerophospholipids
