Name,VIP_predictive,Compound.ID,Super.Class,Class
"N6,N6-dimethyllysine",0.20068078954551472,Amide-Pos-000367,Organic compounds,Organic acids and derivatives
"1,2-dioleoyl-sn-glycero-3-phosphatidylcholine",0.20068030129465622,C8-Pos-000014,Lipids and lipid-like molecules,Glycerophospholipids
Asp-Asp,0.19910869061663267,Amide-Neg-000615,Organic acids and derivatives,Carboxylic acids and derivatives
N-Lauroyl-D-erythro-sphingosylphosphorylcholine,0.19763611317907925,C8-Pos-000616,Organic compounds,Lipids and lipid-like molecules
PC 18:5_24:6,0.19749983060884502,C8-Pos-000559,Lipids and lipid-like molecules,Glycerophospholipids
"(2R)-2,3-Dihydroxypropanoic acid",0.1968135742743549,Amide-Neg-000402,Organic oxygen compounds,Organooxygen compounds
OPHTHALMIC ACID,0.19642408569672704,Amide-Neg-000573,Organic acids and derivatives,Peptidomimetics
PC 14:1_15:1,0.191873650971228,C8-Pos-000694,Lipids and lipid-like molecules,Glycerophospholipids
Palmitoylcarnitine,0.19182487458463232,C8-Pos-000088,Lipids and lipid-like molecules,Fatty Acyls
Spectral Match to 2-Linoleoyl-1-palmitoyl-sn-glycero-3-phosphoethanolamine from NIST14,0.19060866775214705,C8-Pos-000219,Lipids and lipid-like molecules,Glycerophospholipids
"3,5-di-tert-Butyl-4-hydroxybenzaldehyde",0.18828609504196406,C18-Pos-000251,Organic oxygen compounds,Organooxygen compounds
Nonaethylene glycol,0.1829713433690224,C18-Pos-000197,Organic oxygen compounds,Organooxygen compounds
"trans-2-Butene-1,4-dicarboxylic acid",0.18220977653131115,Amide-Pos-000477,Lipids and lipid-like molecules,Fatty Acyls
"(αS,1S,2R)-α-Amino-2-carboxycyclopropaneacetic acid",0.17928241302582418,Amide-Pos-000112,Organic acids and derivatives,Carboxylic acids and derivatives
N-Acetylaspartic acid,0.17889136168683623,Amide-Neg-000009,Organic acids and derivatives,Carboxylic acids and derivatives
PI 16:1_20:4,0.17680593832032132,C8-Neg-000080,Lipids and lipid-like molecules,Glycerophospholipids
1H-Imidazole-4-carboxylic acid,0.17457020347404648,Amide-Neg-000180,Organoheterocyclic compounds,Azoles
NADH,0.17408279365248666,Amide-Pos-000530,Organic compounds,"Nucleosides, nucleotides, and analogues"
(3-Oxo-2-piperazinyl)acetic acid,0.17068334723101602,Amide-Neg-000274,Organic acids and derivatives,Carboxylic acids and derivatives
Panaxadiol,0.1679300452746914,C8-Pos-000541,Lipids and lipid-like molecules,Prenol lipids
1-Palmitoylglycerol,0.16529013248110624,C8-Pos-000001,Lipids and lipid-like molecules,Glycerolipids
2-Docosahexaenoyl-1-stearoyl-sn-glycero-3-phosphoethanolamine,0.16524274344399598,C8-Pos-000092,Lipids and lipid-like molecules,Glycerophospholipids
2-Methylbenzoic acid,0.16405439518596573,Amide-Neg-000398,Benzenoids,Benzene and substituted derivatives
"1,2-Dipalmitoleoyl-sn-glycero-3-phosphocholine",0.15872570760613738,C8-Pos-000008,Lipids and lipid-like molecules,Glycerophospholipids
Lumichrome,0.15734991176096536,C8-Pos-000576,Organoheterocyclic compounds,Pteridines and derivatives
Monoarachidin,0.15445418656842444,C8-Pos-000709,Lipids and lipid-like molecules,Glycerolipids
Octyl decyl phthalate,0.15321831331921798,C8-Pos-000049,Benzenoids,Benzene and substituted derivatives
"1-(4,6-Dimethylpyrimidin-2-yl)piperidine-4-carboxylic acid",0.14927214987131984,C8-Pos-000705,Organoheterocyclic compounds,Piperidines
Leucine,0.14872369385368756,Amide-Pos-000104,Organic acids and derivatives,Carboxylic acids and derivatives
PE 18:0_22:3,0.14823919621632595,C8-Neg-000108,Lipids and lipid-like molecules,Glycerophospholipids
PC(15:0_16:0),0.14791823295448808,C8-Pos-000277,Lipids and lipid-like molecules,Glycerophospholipids
Norgestrel,0.1466128620841681,C8-Pos-000681,Lipids and lipid-like molecules,Steroids and steroid derivatives
Undecanedioic acid,0.1423995554597273,C18-Neg-000189,Lipids and lipid-like molecules,Fatty Acyls
"(3aR,8R,8aR,9aR)-8-Hydroxy-8a-methyl-3,5-bis(methylene)decahydronaphtho[2,3-b]furan-2(3H)-one",0.14224146313244238,C8-Pos-000574,Lipids and lipid-like molecules,Prenol lipids
Isobutyric acid,0.14147900458032736,Amide-Neg-000422,Organic acids and derivatives,Carboxylic acids and derivatives
Choline,0.14079511087764868,Amide-Pos-000001,Organic nitrogen compounds,Organonitrogen compounds
Guanosine,0.1381592269350639,Amide-Pos-000102,Organic compounds,"Nucleosides, nucleotides, and analogues"
"Octadecyl 3-(3,5-di-tert-butyl-4-hydroxyphenyl)propionate",0.137247916178437,C8-Pos-000067,Lipids and lipid-like molecules,Fatty Acyls
Cytidine-5'-monophospho-N-acetylneuraminic acid,0.13715367632873154,Amide-Neg-000618,Organic compounds,"Nucleosides, nucleotides, and analogues"
Tris(hydroxymethyl)aminomethane,0.13435156909752494,Amide-Pos-000100,Organic nitrogen compounds,Organonitrogen compounds
PC(18:0_20:3),0.1330225100249194,C8-Pos-000069,Lipids and lipid-like molecules,Glycerophospholipids
PE O-18:2_16:1,0.1327057586701963,C8-Pos-000497,Lipids and lipid-like molecules,Glycerophospholipids
(2R)-3-Hydroxyisovaleroylcarnitine,0.1326416559167702,Amide-Pos-000436,Lipids and lipid-like molecules,Fatty Acyls
β-Hydroxypropionic acid,0.13242438072008098,Amide-Neg-000013,Organic acids and derivatives,Hydroxy acids and derivatives
"2,4-Di-tert-butylphenyl 3,5-di-tert-butyl-4-hydroxybenzoate",0.13056618246883664,C8-Pos-000224,Phenylpropanoids and polyketides,Depsides and depsidones
PS 22:4_22:5,0.1281473975114812,C8-Pos-000103,Lipids and lipid-like molecules,Glycerophospholipids
Pantothenic acid,0.1261647853766698,C18-Pos-000008,Organic acids and derivatives,Carboxylic acids and derivatives
N-N'-Diacylethylenediamine,0.12452687372652926,C18-Pos-000142,Lipids and lipid-like molecules,Fatty Acyls
Phosphatidylethanolamine alkenyl 16:0-20:4,0.12418598506339233,C8-Neg-000041,Lipids and lipid-like molecules,Glycerophospholipids
D-(-)-Isoascorbic acid,0.12375442668903376,Amide-Neg-000265,Organoheterocyclic compounds,Dihydrofurans
cis-7-Hexadecenoic acid,0.12125513298517049,C8-Neg-000013,Lipids and lipid-like molecules,Fatty Acyls
"Spectral Match to Decanedioic acid, bis(2-ethylhexyl) ester from NIST14",0.12078811256656541,C8-Pos-000243,Lipids and lipid-like molecules,Fatty Acyls
"L-Gulono-1,4-lactone",0.11983947016680395,Amide-Neg-000152,Organic compounds,Organoheterocyclic compounds
L(+)-Ornithine,0.11905382947037814,Amide-Pos-000324,Organic acids and derivatives,Carboxylic acids and derivatives
Phosphatidylinositol 18:1-20:4,0.11846034616047922,C8-Neg-000007,Lipids and lipid-like molecules,Glycerophospholipids
1-Stearoyl-2-arachidonoyl-sn-glycero-3-phosphoserine,0.1170518473538821,C8-Pos-000066,Lipids and lipid-like molecules,Glycerophospholipids
Stigmastadienone,0.11348073325669394,C8-Pos-000585,Organic compounds,Lipids and lipid-like molecules
"1-Hexadecyl-2-(5Z,8Z,11Z,14Z-eicosatetraenoyl)-sn-glycero-3-phosphocholine",0.11336883331869387,C8-Pos-000187,Lipids and lipid-like molecules,Glycerophospholipids
Spectral Match to Decaethylene glycol from NIST14,0.11210038379072015,C18-Pos-000232,Organic oxygen compounds,Organooxygen compounds
PC O-34:2,0.1070158376356385,C8-Pos-000147,Lipids and lipid-like molecules,Glycerophospholipids
DL-Alanine,0.1024117304962536,Amide-Pos-000133,Organic acids and derivatives,Carboxylic acids and derivatives
PEG n7,0.1001068763609499,C18-Pos-000184,Organic oxygen compounds,Organooxygen compounds
"α-D-Glucose-1,6-bisphosphate",0.0974950563414607,Amide-Neg-000246,Organic oxygen compounds,Organooxygen compounds
Tetraglyme,0.09442583928988674,C18-Pos-000028,Organic oxygen compounds,Organooxygen compounds
(5Z)-3-Hydroxy-5-dodecenoic acid,0.09310714470271216,C8-Pos-000525,Organic acids and derivatives,Hydroxy acids and derivatives
PE 16:1_22:6,0.09071797732762986,C8-Pos-000192,Lipids and lipid-like molecules,Glycerophospholipids
"4-[(1E,3E)-Hepta-1,3-dienyl]-3-(hydroxymethyl)cyclohexane-1,2-diol",0.0903308273302748,C8-Pos-000523,Organic oxygen compounds,Organooxygen compounds
trans-3-Indoleacrylic acid,0.09003279732216789,C18-Pos-000090,Organoheterocyclic compounds,Indoles and derivatives
"1-(5Z,8Z,11Z,14Z-Eicosatetraenoyl)-sn-glycero-3-phosphocholine",0.08669487233168828,C18-Pos-000265,Lipids and lipid-like molecules,Glycerophospholipids
Cortisone,0.08645013873759584,C8-Pos-000623,Lipids and lipid-like molecules,Steroids and steroid derivatives
2-Aminoadipic acid,0.0863601471795961,Amide-Neg-000486,Organic acids and derivatives,Carboxylic acids and derivatives
"Dodecanamide,N-[3-(dimethyloxidoamino)propyl]",0.08569331350005209,C8-Pos-000388,Lipids and lipid-like molecules,Fatty Acyls
Docosapentaenoic acid methyl ester,0.0812573384486542,C8-Pos-000299,Lipids and lipid-like molecules,Fatty Acyls
1-Monolinolenin,0.08059982942439357,C8-Pos-000174,Organic compounds,Lipids and lipid-like molecules
L-(-)-Methionine,0.07841368634147042,Amide-Pos-000200,Organic acids and derivatives,Carboxylic acids and derivatives
Cyclohexylamine,0.07666869202536714,Amide-Pos-000120,Organic nitrogen compounds,Organonitrogen compounds
LPE 22:3,0.07663746730265265,C8-Pos-000376,Lipids and lipid-like molecules,Glycerophospholipids
"2-[(2S,4aR,8aS)-2-Hydroxy-4a-methyl-8-methylenedecahydro-2-naphthalenyl]acrylic acid",0.07488185646913569,C8-Neg-000201,Lipids and lipid-like molecules,Prenol lipids
1-Stearoylglycerol,0.07440235799539315,C8-Pos-000005,Lipids and lipid-like molecules,Glycerolipids
SM 8:1;2O/26:1,0.07432429077865267,C8-Pos-000217,Organic nitrogen compounds,Organonitrogen compounds
3-Hydroxybutyric acid,0.07170321531756665,Amide-Neg-000187,Organic acids and derivatives,Hydroxy acids and derivatives
Theophylline,0.07144829793625727,C18-Pos-000283,Organoheterocyclic compounds,Imidazopyrimidines
CITRAMALATE,0.06366106043730668,Amide-Neg-000115,Lipids and lipid-like molecules,Fatty Acyls
Acetohydroxamic acid,0.06211552228302207,Amide-Neg-000370,Organic acids and derivatives,Carboxylic acids and derivatives
PG 36:4,0.05889184858349662,C8-Neg-000154,Lipids and lipid-like molecules,Glycerophospholipids
PE 19:1_19:2,0.05745584977507449,C8-Pos-000209,Lipids and lipid-like molecules,Glycerophospholipids
Nitrilotriacetic acid,0.054769447190100844,Amide-Neg-000043,Organic acids and derivatives,Carboxylic acids and derivatives
2-(Tetradecylamino)ethanol,0.05377878082049519,C18-Pos-000229,Organic nitrogen compounds,Organonitrogen compounds
Uracil,0.05175924130356964,Amide-Pos-000277,Organoheterocyclic compounds,Diazines
PC 20:2_20:2,0.051753433364469,C8-Pos-000073,Lipids and lipid-like molecules,Glycerophospholipids
cis-4-Hydroxy-D-proline,0.04965946175093966,Amide-Pos-000217,Organic acids and derivatives,Carboxylic acids and derivatives
Phosphatidylethanolamine lyso 18:1,0.04939558156670685,C8-Neg-000040,Lipids and lipid-like molecules,Glycerophospholipids
"3-Amino-2,2-dimethylpropionic acid ethyl ester",0.04894453044187566,Amide-Pos-000400,Organic acids and derivatives,Carboxylic acids and derivatives
Citicoline,0.0484544369807836,Amide-Neg-000580,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleotides
Lupenone,0.04760893182112984,C8-Pos-000596,Lipids and lipid-like molecules,Prenol lipids
Avocadenol D,0.04530746147699595,C8-Pos-000494,Lipids and lipid-like molecules,Fatty Acyls
2-Hydroxymyristic acid,0.043468228335624144,C8-Neg-000196,Lipids and lipid-like molecules,Fatty Acyls
PC O-36:5,0.04130802055823603,C8-Pos-000194,Lipids and lipid-like molecules,Glycerophospholipids
"2,2'-(Tetradecylimino)diethanol",0.03751450452654844,C18-Pos-000221,Organic nitrogen compounds,Organonitrogen compounds
Triethylene glycol monomethyl ether,0.03410393929798547,C18-Pos-000228,Organic oxygen compounds,Organooxygen compounds
1-O-Octadecyl-sn-glyceryl-3-phosphorylcholine,0.03219832846706143,C8-Pos-000614,Lipids and lipid-like molecules,Glycerophospholipids
Pentadecanoic acid,0.031092711466988218,C8-Neg-000065,Lipids and lipid-like molecules,Fatty Acyls
1-Stearoyl-2-arachidonoyl-sn-glycero-3-phospho-(1'-sn-glycerol),0.03101651009833117,C8-Neg-000140,Lipids and lipid-like molecules,Glycerophospholipids
1-Hexadecanoyl-2-(14-pentadecenoyl)-sn-glycero-3-phosphocholine,0.028917493202865012,C8-Pos-000133,Lipids and lipid-like molecules,Glycerophospholipids
LPC 20:4-SN2,0.028558455862285375,C8-Pos-000128,Lipids and lipid-like molecules,Glycerophospholipids
(R)-Butyrylcarnitine,0.028167353411262606,C18-Pos-000134,Lipids and lipid-like molecules,Fatty Acyls
"2,4-Bis(1,1-dimethylethyl)phenol phosphate",0.027332156040197817,C8-Neg-000006,Organic acids and derivatives,Organic phosphoric acids and derivatives
L-Serine,0.025275714664845888,Amide-Neg-000157,Organic acids and derivatives,Carboxylic acids and derivatives
1-Palmitoyl-2-linoleoyl-sn-glycero-3-phosphocholine,0.024771175368633602,C8-Pos-000011,Lipids and lipid-like molecules,Glycerophospholipids
"Cholan-24-oic acid, 12-hydroxy-3-oxo-, methyl ester (with partial stereo definitions)",0.023400281578385623,C8-Pos-000432,Lipids and lipid-like molecules,Steroids and steroid derivatives
"7,9-Dihydroxy-3,6-dimethyl-10-methylenedecahydrocyclodeca[b]furan-2(3H)-one",0.018739601056428617,C8-Pos-000441,Lipids and lipid-like molecules,Prenol lipids
LPE 38:4,0.01773104172603171,C8-Pos-000197,Lipids and lipid-like molecules,Glycerophospholipids
OPHTHALMATE,0.01715300926403342,Amide-Pos-000405,Organic acids and derivatives,Carboxylic acids and derivatives
PS(16:1_18:1),0.016253896366212547,C8-Neg-000119,Lipids and lipid-like molecules,Glycerophospholipids
Cytidine 5'-diphosphate ethanolamine,0.014124213164627248,Amide-Pos-000322,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleotides
Azelaic acid,0.006559369203653343,C18-Neg-000158,Lipids and lipid-like molecules,Fatty Acyls
7α-Hydroxytestosterone,0.0017233800945121852,C8-Pos-000589,Lipids and lipid-like molecules,Steroids and steroid derivatives
