Name,logFC,AveExpr,t,P.Value,adj.P.Val,B,Compound.ID,Super.Class,Class
Lpc 14:0-Sn2,-0.02730631063451097,19.632029669004137,-0.876895918115364,0.3892363702430376,0.8075886129448198,-5.599603064032684,C8-Pos-001973,Lipids and lipid-like molecules,Glycerophospholipids
D-(+)-Glucose,0.06591331425907508,18.797435757465806,0.874835087322977,0.39033449625666283,0.8075886129448198,-5.601304615684317,Amide-Neg-000605,Organic oxygen compounds,Organooxygen compounds
Xanthine,-0.06939371077206748,21.003160112330526,-0.8628485551635288,0.39712880046699506,0.8154057837525986,-5.603552782440063,Amide-Neg-000523,Organoheterocyclic compounds,Imidazopyrimidines
L-Glutamic Acid,-0.08018058710673948,19.21819065661258,-0.39873878150539827,0.696100783356985,0.9229914195257372,-5.610736004225239,Amide-Pos-000319,Organic acids and derivatives,Carboxylic acids and derivatives
Tg(29:3cooh_2:0),-0.034915756596415985,24.034247014436012,-0.8567222655411829,0.40007198300532065,0.8154057837525986,-5.616098609814814,C8-Pos-003050,Lipids and lipid-like molecules,Glycerolipids
Tg(39:10_9:2cho),0.029186361907193547,19.61678578477022,0.8531727057852986,0.4019982916691779,0.8154057837525986,-5.618963820427747,C8-Pos-004650,Lipids and lipid-like molecules,Glycerolipids
L-Aspartic Acid,-0.11322824872606442,18.05227564062134,-0.8526786971350677,0.40226685331794865,0.8154057837525986,-5.619361701309988,C18-Pos-000393,Organic acids and derivatives,Carboxylic acids and derivatives
Pc(20:2cho_22:5),-0.029709013725099653,21.35933167842468,-0.39668170871840785,0.6985658668143784,0.9229914195257372,-5.620276342443341,C8-Neg-003470,Lipids and lipid-like molecules,Glycerophospholipids
Pyrrole-2-Carboxylic Acid,0.008474068274726493,15.919690361591458,0.05243308411083715,0.9589807308862297,0.9964296448375749,-5.620674555228123,Amide-Neg-000142,Organoheterocyclic compounds,Pyrroles
Dg(4:0_34:6),0.020204530296820244,17.646707660287838,0.13526748553714488,0.8941988268627513,0.989888000217068,-5.622125550654136,C8-Pos-003357,Lipids and lipid-like molecules,Glycerolipids
Phenylacetylglutamine,-0.04573915293781195,19.550820903898348,-0.8183067829829483,0.4215794078606223,0.8164350736804741,-5.6252982813803705,C18-Pos-001439,Organic acids and derivatives,Carboxylic acids and derivatives
Glucose 1-Phosphate,-0.04100709330983374,21.805976149814555,-0.8378020159113294,0.41040790637558244,0.8164350736804741,-5.631242263856901,C18-Pos-001412,Organic oxygen compounds,Organooxygen compounds
D-Ribose 5-Phosphate,-0.016628724743061617,22.034745657023112,-0.3667376290263209,0.7197145928606761,0.9408033893603609,-5.631491495451061,Amide-Neg-001243,Organic oxygen compounds,Organooxygen compounds
D-Proline,-0.01885528906753562,18.531485204637065,-0.836883754048927,0.4109138027560909,0.8164350736804741,-5.631969156988501,Amide-Pos-000224,Organic acids and derivatives,Carboxylic acids and derivatives
Phthalylsulfathiazole,-0.039612307453786653,27.31605096045153,-0.836366564065767,0.41119891061369673,0.8164350736804741,-5.632378233202783,Amide-Pos-001548,Benzenoids,Benzene and substituted derivatives
