Name,Compound.ID,Wilcoxon_statistic,p_value,Mean_Female,Mean_Male,logFC,FDR,Bonferroni,Significant_FDR,Significant_Bonferroni,Direction
PC 20:4_22:6,C8-Pos-000094,62,0.5833604667027033,20.04537635619864,19.996258368828272,-0.0035394315355561485,0.962267616477685,1,FALSE,FALSE,Higher in Females
Lidocaine,C8-Pos-000095,86,0.4357306600317366,19.960698002553446,19.903995410920807,-0.004104112984052912,0.962267616477685,1,FALSE,FALSE,Higher in Females
1-Stearoyl-2-hydroxy-sn-glycero-3-phosphoethanolamine,C8-Pos-000096,71,0.01600990682537252,20.661795087566787,19.836404835554916,-0.058815026033499196,0.962267616477685,1,FALSE,FALSE,Higher in Females
"1,2-Diarachidonoyl-sn-glycero-3-phosphocholine",C8-Pos-000097,51,0.2365840933218762,16.784678534999237,16.90872324051311,0.010622821122442063,0.962267616477685,1,FALSE,FALSE,Higher in Males
LPC 14:0-SN2,C8-Pos-000098,114,0.016574926749853273,21.152799685673415,20.835371471715934,-0.021813802420913683,0.962267616477685,1,FALSE,FALSE,Higher in Females
N-(Octadecanoyl)sphing-4-enine-1-phosphocholine,C8-Pos-000099,98,0.14095521914437142,17.041169804278617,16.817985578163672,-0.019019460821498104,0.962267616477685,1,FALSE,FALSE,Higher in Females
7-Oxocholesterol,C8-Pos-000100,85,0.47048642205878966,19.72080474227079,19.36264403580718,-0.026442453589487255,0.962267616477685,1,FALSE,FALSE,Higher in Females
"1,3,5-Tris(3,5-di-tert-butyl-4-hydroxybenzyl)-1,3,5-triazine-2,4,6(1H,3H,5H)-trione",C8-Pos-000101,82,0.5833604667027033,16.983167256335232,16.402628855521044,-0.05017848308923908,0.962267616477685,1,FALSE,FALSE,Higher in Females
PS 18:2_22:5,C8-Pos-000102,16,1,21.048236305225906,20.889738936465314,-0.010904887767572839,1,1,FALSE,FALSE,Higher in Females
PS 22:4_22:5,C8-Pos-000103,79,0.7074539677020747,25.607487583127998,25.611933355428704,2.504477227475854e-4,0.982042033132202,1,FALSE,FALSE,Higher in Males
Arachidonoyl-carnitine; LC-tDDA; CE10,C8-Pos-000104,20,0.2442767438232658,24.522643239482477,24.967028762128834,0.025909649242125257,0.962267616477685,1,FALSE,FALSE,Higher in Males
PC 20:4_22:4,C8-Pos-000105,65,0.7074539677020747,25.642883875483133,25.75322442483987,0.006194554926362734,0.982042033132202,1,FALSE,FALSE,Higher in Males
LPE 22:4,C8-Pos-000106,75,0.8852339144732017,19.037189249759013,18.87218529572446,-0.012558998526095086,1,1,FALSE,FALSE,Higher in Females
Dipropyleneglycol dibenzoate,C8-Pos-000107,94,0.21449380778351745,18.085789901432896,17.984870633243396,-0.008072827361022094,0.962267616477685,1,FALSE,FALSE,Higher in Females
