Name,pathway_id,pathway_label,pathway_source
L-Aspartic Acid,map00330,Arginine and proline metabolism,kegg
L-Aspartic Acid,map00350,Tyrosine metabolism,kegg
L-Aspartic Acid,map00410,beta-Alanine metabolism,kegg
L-Aspartic Acid,map00910,Nitrogen metabolism,kegg
L-Aspartic Acid,R-HSA-1638091,Heparan sulfate/heparin (HS-GAG) metabolism,reactome
L-Aspartic Acid,R-HSA-2024096,HS-GAG degradation,reactome
L-Aspartic Acid,R-HSA-379716,Cytosolic tRNA aminoacylation,reactome
L-Aspartic Acid,R-HSA-379724,tRNA Aminoacylation,reactome
L-Aspartic Acid,R-HSA-379726,Mitochondrial tRNA aminoacylation,reactome
L-Aspartic Acid,R-HSA-389661,Glyoxylate metabolism and glycine degradation,reactome
L-Aspartic Acid,R-HSA-500753,Pyrimidine biosynthesis,reactome
L-Aspartic Acid,R-HSA-5619062,Defective SLC1A3 causes episodic ataxia 6 (EA6),reactome
L-Aspartic Acid,R-HSA-5619067,Defective SLC1A1 is implicated in schizophrenia 18 (SCZD18) and dicarboxylic aminoaciduria (DCBXA),reactome
L-Aspartic Acid,R-HSA-5676934,Protein repair,reactome
L-Aspartic Acid,R-HSA-70263,Gluconeogenesis,reactome
L-Aspartic Acid,R-HSA-70326,Glucose metabolism,reactome
L-Aspartic Acid,R-HSA-70635,Urea cycle,reactome
L-Aspartic Acid,R-HSA-73817,Purine ribonucleoside monophosphate biosynthesis,reactome
L-Aspartic Acid,R-HSA-8956320,Nucleotide biosynthesis,reactome
L-Aspartic Acid,R-HSA-8963691,Phenylalanine and tyrosine metabolism,reactome
L-Aspartic Acid,R-HSA-8963693,Aspartate and asparagine metabolism,reactome
L-Aspartic Acid,R-HSA-8964208,Phenylalanine metabolism,reactome
L-Aspartic Acid,R-HSA-8964539,Glutamate and glutamine metabolism,reactome
L-Aspartic Acid,R-HSA-9717189,Sensory perception of taste,reactome
L-Aspartic Acid,R-HSA-9717207,"Sensory perception of sweet, bitter, and umami (glutamate) taste",reactome
L-Aspartic Acid,WP106,Alanine and aspartate metabolism,wiki
L-Aspartic Acid,WP1938,tRNA aminoacylation,wiki
L-Aspartic Acid,WP3562,Glyoxylate metabolism and glycine degradation,wiki
L-Aspartic Acid,WP3602,Metabolism overview,wiki
L-Aspartic Acid,WP3800,Protein repair,wiki
L-Aspartic Acid,WP4084,Nucleobase biosynthesis,wiki
L-Aspartic Acid,WP4093,Glucose metabolism,wiki
L-Aspartic Acid,WP4224,Purine metabolism and related disorders,wiki
L-Aspartic Acid,WP4225,Pyrimidine metabolism and related diseases,wiki
L-Aspartic Acid,WP4519,"Cerebral organic acidurias, including diseases",wiki
L-Aspartic Acid,WP4571,Urea cycle and related diseases,wiki
L-Aspartic Acid,WP4583,Biomarkers for urea cycle disorders,wiki
L-Aspartic Acid,WP4595,Urea cycle and associated pathways,wiki
L-Aspartic Acid,WP497,Urea cycle and metabolism of amino groups,wiki
L-Aspartic Acid,WP4973,Urea cycle,wiki
L-Aspartic Acid,WP4979,Aspartate and asparagine metabolism,wiki
L-Aspartic Acid,WP4981,Phenylalanine and tyrosine metabolism,wiki
L-Aspartic Acid,WP4992,Glutamate and glutamine metabolism,wiki
L-Aspartic Acid,WP5029,Amino acid transport defects (IEMs),wiki
L-Aspartic Acid,WP534,Glycolysis and gluconeogenesis,wiki
L-Aspartic Acid,WP5365,4p16.3 copy number variation,wiki
2-Oxoglutaric Acid,map00020,Citric Acid Cycle,kegg
2-Oxoglutaric Acid,map00250,"Alanine, aspartate and glutamate metabolism",kegg
2-Oxoglutaric Acid,map00270,Methionine Metabolism,kegg
2-Oxoglutaric Acid,map00280,"Valine, leucine and isoleucine degradation",kegg
2-Oxoglutaric Acid,map00310,Lysine degradation,kegg
2-Oxoglutaric Acid,map00330,Arginine and proline metabolism,kegg
2-Oxoglutaric Acid,map00350,Tyrosine metabolism,kegg
2-Oxoglutaric Acid,map00360,Phenylalanine and Tyrosine Metabolism,kegg
2-Oxoglutaric Acid,map00380,Tryptophan metabolism,kegg
2-Oxoglutaric Acid,map00410,beta-Alanine metabolism,kegg
2-Oxoglutaric Acid,map00640,Propanoate metabolism,kegg
2-Oxoglutaric Acid,map00910,Nitrogen metabolism,kegg
2-Oxoglutaric Acid,R-HSA-112122,ALKBH2 mediated reversal of alkylation damage,reactome
2-Oxoglutaric Acid,R-HSA-112126,ALKBH3 mediated reversal of alkylation damage,reactome
2-Oxoglutaric Acid,R-HSA-112310,Neurotransmitter release cycle,reactome
2-Oxoglutaric Acid,R-HSA-1234174,Cellular response to hypoxia,reactome
2-Oxoglutaric Acid,R-HSA-1234176,Oxygen-dependent proline hydroxylation of Hypoxia-inducible Factor Alpha,reactome
2-Oxoglutaric Acid,R-HSA-1474290,Collagen formation,reactome
2-Oxoglutaric Acid,R-HSA-1614558,Degradation of cysteine and homocysteine,reactome
2-Oxoglutaric Acid,R-HSA-1614635,Sulfur amino acid metabolism,reactome
2-Oxoglutaric Acid,R-HSA-163841,"Gamma carboxylation, hypusinylation, hydroxylation, and arylsulfatase activation",reactome
2-Oxoglutaric Acid,R-HSA-1650814,Collagen biosynthesis and modifying enzymes,reactome
2-Oxoglutaric Acid,R-HSA-2299718,Condensation of Prophase Chromosomes,reactome
2-Oxoglutaric Acid,R-HSA-2559580,Oxidative Stress Induced Senescence,reactome
2-Oxoglutaric Acid,R-HSA-2978092,Abnormal conversion of 2-oxoglutarate to 2-hydroxyglutarate,reactome
2-Oxoglutaric Acid,R-HSA-3214842,HDMs demethylate histones,reactome
2-Oxoglutaric Acid,R-HSA-389542,NADPH regeneration,reactome
2-Oxoglutaric Acid,R-HSA-389599,Alpha-oxidation of phytanate,reactome
2-Oxoglutaric Acid,R-HSA-390918,Peroxisomal lipid metabolism,reactome
2-Oxoglutaric Acid,R-HSA-5221030,"TET1,2,3 and TDG demethylate DNA",reactome
2-Oxoglutaric Acid,R-HSA-549132,Organic cation/anion/zwitterion transport,reactome
2-Oxoglutaric Acid,R-HSA-561048,Organic anion transport,reactome
2-Oxoglutaric Acid,R-HSA-5625740,RHO GTPases activate PKNs,reactome
2-Oxoglutaric Acid,R-HSA-5625886,Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3,reactome
2-Oxoglutaric Acid,R-HSA-6782315,tRNA modification in the nucleus and cytosol,reactome
2-Oxoglutaric Acid,R-HSA-6782861,Synthesis of wybutosine at G37 of tRNA(Phe),reactome
2-Oxoglutaric Acid,R-HSA-68875,Mitotic Prophase,reactome
