"Name","n_occurrences","compound_ids","is_duplicate"
"9(Z),11(E)-Octadecadienoic Acid",2,"C8-Pos-000278; C8-Pos-000280",TRUE
"9-Octadecynoic Acid",2,"C18-Pos-001744; C8-Pos-000489",TRUE
"Aa-4047",2,"C18-Neg-000580; C18-Neg-000581",TRUE
"Acetyl-Β-Methylcholine",2,"Amide-Pos-000559; Amide-Pos-000561",TRUE
"Acrylic Acid",2,"Amide-Neg-000001; Amide-Neg-000002",TRUE
"Adenosine Triphosphate (Atp)",2,"Amide-Neg-001422; Amide-Neg-002157",TRUE
"Alfacalcidol",2,"C8-Pos-001187; C8-Pos-001188",TRUE
"All-Cis-4,7,10,13,16-Docosapentaenoic Acid",2,"Amide-Neg-001841; C8-Neg-000540",TRUE
"Allopurinol",2,"Amide-Neg-000402; Amide-Neg-000408",TRUE
"Amifampridine",2,"Amide-Pos-000165; Amide-Pos-000167",TRUE
"Aminoadipic Acid",2,"C18-Pos-000699; C18-Pos-000701",TRUE
"Amp",2,"C8-Neg-000641; C8-Pos-000891",TRUE
"Arachidonoyl-Carnitine; Lc-Tdda; Ce10",2,"Amide-Pos-001723; C18-Pos-003527",TRUE
"Benzenesulfonic Acid, Dodecyl(Sulfophenoxy)-",2,"Amide-Neg-001355; Amide-Neg-001358",TRUE
"Benzoylecgonine",2,"Amide-Pos-001164; C18-Pos-001671",TRUE
"Beta-Alanine",2,"Amide-Pos-000026; Amide-Pos-000027",TRUE
"Betaine",2,"C18-Pos-000240; C18-Pos-000247",TRUE
"Betulin",2,"C8-Pos-001572; C8-Pos-001574",TRUE
"Biliverdin",2,"C18-Pos-005769; C8-Pos-002830",TRUE
"Biotin",2,"C18-Neg-000748; C18-Pos-001159",TRUE
"Bis(2-Ethylhexyl) Adipate",2,"C8-Pos-001101; C8-Pos-001102",TRUE
"Bis(2-Ethylhexyl) Sebacate",2,"C8-Pos-001597; C8-Pos-001598",TRUE
"Bis(3-Methoxybenzylidene)Hydrazine",2,"Amide-Pos-001080; Amide-Pos-001081",TRUE
"Bis(Methylbenzylidene)Sorbitol",2,"C8-Pos-001076; C8-Pos-001216",TRUE
"C14-Sas (Tentative)",2,"Amide-Neg-001543; C8-Neg-000276",TRUE
"Calcitriol",2,"C8-Neg-001002; C8-Pos-001324",TRUE
"Chalcone",2,"C8-Pos-000022; C8-Pos-000023",TRUE
"Cholesterol",2,"C8-Pos-001084; C8-Pos-001085",TRUE
"Citraconic Acid",2,"Amide-Neg-000306; Amide-Neg-000307",TRUE
"Citrulline",2,"Amide-Neg-000723; Amide-Pos-000621",TRUE
"Cyclohexylamine",2,"Amide-Pos-000085; Amide-Pos-000086",TRUE
"Cysteinylglycine",2,"Amide-Pos-000635; C18-Pos-000810",TRUE
"Cytidine 5'-Diphosphate",2,"Amide-Pos-001613; Amide-Pos-001621",TRUE
"Cytidine 5'-Diphosphate Ethanolamine",2,"Amide-Neg-002114; Amide-Pos-001718",TRUE
"Cytidine 5'-Triphosphate",2,"Amide-Pos-001769; Amide-Pos-001770",TRUE
"D-(+)-Arabitol",2,"Amide-Neg-000527; Amide-Neg-000528",TRUE
"D-Alanine Methyl Ester",2,"Amide-Pos-000145; C18-Pos-000036",TRUE
"D-Arginine",2,"Amide-Pos-000618; Amide-Pos-000620",TRUE
"D-Fructose 1-Phosphate",2,"C18-Neg-000851; C18-Neg-000852",TRUE
