Name,logFC,AveExpr,t,P.Value,adj.P.Val,B,Compound.ID,Super.Class,Class,Direction,FDR_label
Gdp-L-Fucose,7.088235409671784,24.260411401898256,1.6574813814336344,0.11161490223544894,0.6726368013824302,-4.379192317601474,Amide-Pos-001983,"Nucleosides, nucleotides, and analogues",Purine nucleotides,Higher in Males,
Sqdg(2:0_28:0),6.4601683974232085,20.46429801702843,1.5914028054376108,0.13383912365514627,0.6726368013824302,-4.38262708532642,C8-Neg-003216,Lipids and lipid-like molecules,Glycerolipids,Higher in Males,
Dl-Alanine,5.13426637449429,15.84686601857736,1.6462132389136186,0.11393191781377902,0.6726368013824302,-4.3933792395518605,Amide-Neg-000047,Organic acids and derivatives,Carboxylic acids and derivatives,Higher in Males,
1-Hexadecanoyl-Sn-Glycero-3-Phosphoethanolamine,2.3874916453270423,21.383388762541163,1.6412734564239646,0.11496035638608436,0.6726368013824302,-4.399575964250325,C18-Pos-003617,Lipids and lipid-like molecules,Glycerophospholipids,Higher in Males,
L-Pipecolinic Acid,-2.0181680260750445,22.20250742682454,-1.6318320071834143,0.11836108138184304,0.6726368013824302,-4.400881515145587,Amide-Pos-000331,Organic acids and derivatives,Carboxylic acids and derivatives,Higher in Females,
Pa(18:1_20:0),4.434887529097567,20.78128876872872,1.6193251323445614,0.12185660329432291,0.6726368013824302,-4.402910658222579,C8-Pos-004019,Lipids and lipid-like molecules,Glycerophospholipids,Higher in Males,
N-Methylcyclohexylamine,2.140625858794108,21.543387937785667,1.6385921269758355,0.11552185764322005,0.6726368013824302,-4.40293377636131,C18-Pos-000219,Organic nitrogen compounds,Organonitrogen compounds,Higher in Males,
Pi(17:3_25:6),-13.243429983470302,17.893376796478552,-1.5912427786149204,0.13240485727837334,0.6726368013824302,-4.403544950859804,C8-Neg-003687,Lipids and lipid-like molecules,Glycerophospholipids,Higher in Females,
Dl-P-Hydroxyphenyllactic Acid,3.7393051690758226,21.073538022636047,1.6065914258714862,0.1238174183941639,0.6726368013824302,-4.406973457127791,Amide-Neg-000783,Benzenoids,Benzene and substituted derivatives,Higher in Males,
Uridine,1.7236369533452935,24.815699559392545,1.6289337911686235,0.11756356207246402,0.6726368013824302,-4.414994979083883,Amide-Pos-000957,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleosides,Higher in Males,
Tetraglyme,4.556073071480306,25.060146758320666,1.5689562678692177,0.13750802927139688,0.6726368013824302,-4.417853963422217,C18-Pos-001141,Organic oxygen compounds,Organooxygen compounds,Higher in Males,
Cl(23:1_19:4cho_22:4_22:4cho),2.8669121471081827,24.198361053105295,1.6110272732476894,0.12142896962213114,0.6726368013824302,-4.43721536666081,C8-Neg-003382,Lipids and lipid-like molecules,Glycerophospholipids,Higher in Males,
Creatinine,8.424952588063714,15.656573322366373,1.5548548546034462,0.1356627290712616,0.6726368013824302,-4.447880537686214,Amide-Pos-000193,Organic acids and derivatives,Carboxylic acids and derivatives,Higher in Males,
Propham,5.2465561370302645,23.541961252943338,1.5076826634491436,0.15750200349962867,0.6933137440778226,-4.44891445348639,C18-Pos-000820,Benzenoids,Benzene and substituted derivatives,Higher in Males,
Tg(39:10_9:2cho),2.179514899865408,19.61678578477022,1.5838150408622556,0.12750615595338358,0.6726368013824302,-4.470629080006487,C8-Pos-004650,Lipids and lipid-like molecules,Glycerolipids,Higher in Males,
Pe(18:0_22:6),-2.037662075928696,21.36522412059556,-1.5826846736370153,0.12917868938952248,0.6726368013824302,-4.470844052719797,Amide-Pos-002316,Lipids and lipid-like molecules,Glycerophospholipids,Higher in Females,
Adenosine Triphosphate (Atp),-1.5802445477935658,22.465432969670946,-1.5480653212532873,0.1424424412214335,0.6729564152193709,-4.47134738310804,Amide-Neg-001422,"Nucleosides, nucleotides, and analogues",Purine nucleotides,Higher in Females,
L-Ergothioneine,6.983534526696558,18.845080083894064,1.5823917730157078,0.1278308520615099,0.6726368013824302,-4.472364846075261,Amide-Pos-000860,Organic acids and derivatives,Carboxylic acids and derivatives,Higher in Males,
D-Phenylalanine,2.643962589332786,28.669805146265904,1.5767812812121205,0.12911749933527333,0.6726368013824302,-4.479195652397736,Amide-Pos-000583,Organic acids and derivatives,Carboxylic acids and derivatives,Higher in Males,
Indole-3-Carboxaldehyde,3.9089413315654444,19.71028826066134,1.575086524966134,0.12950826435473978,0.6726368013824302,-4.481255399928251,C18-Pos-000538,Organoheterocyclic compounds,Indoles and derivatives,Higher in Males,
Hyflavin,1.647096711835713,24.61059199210195,1.5612524483444807,0.13273486912639057,0.6726368013824302,-4.49800567133987,Amide-Pos-001528,Organoheterocyclic compounds,Pteridines and derivatives,Higher in Males,
Amifampridine,3.0371467830883954,24.837167363304513,1.5532196169126151,0.13463876595810964,0.6726368013824302,-4.507679938146333,Amide-Pos-000167,Organoheterocyclic compounds,Pyridines and derivatives,Higher in Males,
Pc 38:4,2.30546587287226,17.74065281325025,1.5474286096207281,0.1366983297187866,0.6726368013824302,-4.512644944900627,C8-Pos-004446,Lipids and lipid-like molecules,Glycerophospholipids,Higher in Males,
"5,5-Dimethyloxazolidine-2,4-Dione",-6.662226114939382,22.516181260624183,-1.4619324999257906,0.17173170635967483,0.6934381747866885,-4.517174185214811,Amide-Neg-000296,Organoheterocyclic compounds,Azolidines,Higher in Females,
