Name,Compound.ID_Batch1,Compound.ID_Batch2,Sample10,Sample19,Sample32,Sample35,Sample01,Sample08,Sample09,Sample20,Sample02,Sample03,Sample04,Sample06,Sample07,Sample13,Sample15,Sample17,Sample18,Sample21,Sample23,Sample24,Sample26,Sample31,Sample33,Sample37,Sample40,Sample41,Sample42,Sample43,Sample46,Sample47,Sample49,Sample50,Detected_Batch1,Detected_Batch2,Detected_Both
"1,2-Dipalmitoyl-sn-glycero-3-phospho-(1'-rac-glycerol)",C8-Neg-000147,NA,150531.560010019,847460.963697282,302056.323393676,344349.599420861,255446.93561544,930941.115982248,117179.31239437,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE
"1,2-Dipalmitoyl-sn-glycero-3-phosphoethanolamine",C8-Pos-000194,NA,5918511.94765877,8129068.6965219,3966211.7108542,8257047.22163629,7548122.51706939,9248352.58566762,6779801.98170743,4352454.41163885,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE
"1,2-Dipalmitoyl-sn-glycero-3-phosphoethanolamine-N-methyl",C8-Pos-000261,NA,1756317.45402006,2918218.05847787,1072202.61267016,1983728.39053584,1327046.60564317,4701667.85881419,1667479.59017791,1773613.67119209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE
"1,2-Dipentadecanoyl-sn-glycero-3-phosphocholine",C8-Pos-000008,C8-Pos-000010,1305528578.70031,1374562173.14843,1490302919.58376,1502771677.32946,1373834613.52029,1793207886.23394,1609998666.30693,1644316827.49919,529123460.098412,508411415.494113,530012656.012163,488572869.134885,497257845.675001,450787317.971427,548537430.726324,389116310.487344,428671899.255476,474580870.314936,554344119.66351,570530467.393923,481098717.581441,524005832.607689,396023852.662953,525802203.185824,485638344.856945,655610982.350023,649745643.463006,490536054.240551,548483248.746734,578308835.709557,626686267.978646,642012162.969491,TRUE,TRUE,TRUE
"1,2-Distearoyl-sn-glycero-3-phosphocholine",C8-Pos-000083,NA,17915895.8993608,33051226.6847858,20037637.391141,29941025.9579883,41795149.9309335,53319028.541637,17061624.4864526,9787565.73469233,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE
"1,2-Ditetradecanoyl-sn-glycero-3-phosphocholine",C8-Pos-000010,C8-Pos-000023,277557344.037179,906047678.431078,818273155.798237,946744925.763342,809098047.835204,1293825846.50093,438128210.287321,380565894.530645,288717126.77049,264519143.599218,246856629.832472,293385382.285596,264185316.121557,185426812.417876,296659509.211044,195430484.235164,222885616.641306,274051189.466766,265667625.563516,225422741.76888,261610228.555868,215935487.010723,168588509.805616,288218035.379452,209119982.412673,288353656.135706,242098653.978266,241052820.426807,216725543.555059,301394148.725949,304177878.401467,274071937.550946,TRUE,TRUE,TRUE
"1,2-dihydroxyheptadec-16-yn-4-yl acetate",C8-Pos-000223,C8-Pos-000326,2871063.05586489,NA,4791288.69940996,NA,5373083.74989531,6711542.26294819,4305211.17685471,3266905.65005717,3368225.08730601,3310142.2578088,3258235.14183967,3796062.3386724,3331824.57788526,3582599.94783983,3298142.30396023,3258522.98461245,3407515.85272601,NA,2234676.97688533,2337433.69922439,3214362.71391672,2512480.20682626,3053111.21229942,3181327.57305832,3053017.11234,3102020.10295153,2279798.97604104,3205846.6306195,3103390.86516042,3265185.08042819,3258644.47108567,NA,TRUE,TRUE,TRUE
"1,2-dioleoyl-sn-glycero-3-phosphatidylcholine",C8-Pos-000018,C8-Pos-000014,377520448.952647,416707667.136438,398261842.132795,467321253.756574,552916523.678424,498321424.609458,245873195.150307,323184597.788895,369121745.160618,329960030.253224,280400283.410425,196381449.142914,318002571.877941,365320140.091811,277709213.847256,401720288.241115,339182188.42463,383347291.613407,432091065.658035,381425969.032618,339925404.18176,530024306.090316,438203885.055104,352153848.716476,389196004.639212,376842006.172862,305019007.242872,381521862.122404,390346527.972229,386027257.736153,379722853.47983,403959986.304132,TRUE,TRUE,TRUE
"1,3-Dipalmitoyl-sn-glycero-2-phosphoethanolamine",C8-Neg-000077,NA,1965526.60868343,4322227.37719706,1342007.12423333,2957526.08525101,2038654.08015801,5865637.80491539,1457972.59009497,718209.515247861,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE
"1,3-Diphenylacetone",C8-Pos-000354,C8-Pos-000608,849435.870313884,1861624.03719577,1656137.05913067,928750.135141941,1560847.16759094,2028100.75384174,949958.969990271,1316609.60055722,467799.216735269,490982.092277737,489624.828737674,507659.330403108,494714.621928793,487229.800708263,483869.83664235,485879.583968973,479228.929982523,450303.807974545,473380.156999045,485838.498768566,479053.521090009,485069.139397733,482200.997176773,471118.278903986,475768.811360134,483486.336924637,482862.245583535,480303.33737969,466353.661263298,467947.01196467,467891.970833828,464853.281065217,TRUE,TRUE,TRUE
"1,4-Cyclohexanedicarboxylic acid",Amide-Neg-000338,NA,NA,596940.474106288,461488.713537066,572346.119904001,390275.412453604,436840.565211912,439667.636603077,454098.169006431,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE
"1,4-Dimethylpiperazine",Amide-Pos-000218,NA,3778292.05911836,3631699.53377572,5272090.89223919,5226791.03454344,2010790.20024421,3185738.46037946,3270974.68390073,3559160.7951018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE
"1,4:3,6-Dianhydro-5-O-benzyl-2-[5-(4-biphenylyl)-1H-tetrazol-1-yl]-2-deoxy-D-glucitol",C8-Pos-000272,NA,3795307.34939609,3989665.31670291,3926192.05418391,4115074.51983449,3880135.51298827,3974016.83265908,3732725.27077222,3588621.33895438,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE
"1,6-Anhydro-.beta.-D-glucose",Amide-Neg-000053,NA,8783826.29296475,7566902.70995903,NA,15680836.019627,2969058.28179335,NA,4910850.94526454,5642180.21207423,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE
