gene,logFC,AveExpr,t,P.Value,adj.P.Val,B,dropped_covariates,Compound.ID,Name,cell_type,n_samples,FDR_global,Super.Class,Class,Sub.Class,Pathways,KEGG,Exogenous_Flag,Annotation_Confidence,n_nonzero,max_cooks,loo_unstable
ITPR1,0.5697887964278315,8.323623521245093,7.3709628484204766,2.477968044508756e-7,4.2226698410603795e-4,7.025013689262726,,Amide-Pos-000690,Gly-Asp,EN-Newborn,20,0.012032345891795903,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",NA,NA,NA,high,20,0.43089204662933434,FALSE
PLCB1,-0.5849987878066296,10.124372909492408,-7.370404402851365,2.480922721987103e-7,4.2226698410603795e-4,6.774438198808305,,Amide-Pos-000690,Gly-Asp,EN-Newborn,20,0.012037184926247295,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",NA,NA,NA,high,20,0.30013915592141016,FALSE
PPFIBP1,0.8228829846094378,6.4084828403256004,7.348244872833842,2.601141762820742e-7,4.2226698410603795e-4,7.063316585818448,,Amide-Pos-000690,Gly-Asp,EN-Newborn,20,0.01235847799159853,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",NA,NA,NA,high,20,0.6894069330825469,FALSE
PTPN4,-0.4025172700991862,9.083218370503959,-7.319552143488859,2.7657697953713774e-7,4.2226698410603795e-4,6.808443945842986,,Amide-Pos-000690,Gly-Asp,EN-Newborn,20,0.012858905148733403,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",NA,NA,NA,high,20,0.47755866017687243,FALSE
KCNH5,1.5044398296134127,5.938303680508768,7.310724943116942,2.8185452500628875e-7,4.2226698410603795e-4,6.931654658283543,,Amide-Pos-000690,Gly-Asp,EN-Newborn,20,0.013000913072655503,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",NA,NA,NA,high,20,0.6219799948580846,FALSE
ABCA5,0.9915929043328018,4.434925357492951,7.304484253161667,2.856481107251658e-7,4.2226698410603795e-4,6.735846752184118,,Amide-Pos-000690,Gly-Asp,EN-Newborn,20,0.013126350328461156,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",NA,NA,NA,high,19,0.8902484316723538,FALSE
DGKI,0.39649292145691717,7.822817131940679,7.303100225324003,2.864965276569561e-7,4.2226698410603795e-4,6.911678185701147,,Amide-Pos-000690,Gly-Asp,EN-Newborn,20,0.01314177128674195,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",NA,NA,NA,high,20,0.2347122572644636,FALSE
ZNF462,-0.3050220511402011,8.634310697747019,-7.2833631346985195,2.9888161919404803e-7,4.2226698410603795e-4,6.779703212726157,,Amide-Pos-000690,Gly-Asp,EN-Newborn,20,0.013568183138564978,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",NA,NA,NA,high,20,0.37541626548463713,FALSE
CYP4X1,1.271452022059852,2.1268439313514786,7.2500679360861175,3.210376256577761e-7,4.2837120516935924e-4,5.284589217789417,,Amide-Pos-000690,Gly-Asp,EN-Newborn,20,0.01421107888501671,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",NA,NA,NA,high,16,0.3656380051699527,FALSE
SLC35F1,0.551688195731392,7.875166195486808,7.191744441509774,3.640095416653958e-7,4.6014637745891984e-4,6.672795549261815,,Amide-Pos-000690,Gly-Asp,EN-Newborn,20,0.015283085102412537,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",NA,NA,NA,high,20,0.33228511256222815,FALSE
TRIM67,0.9248330003893174,4.260581714075611,7.111279559220984,4.332147010392166e-7,5.063970387063365e-4,6.304147238248772,,Amide-Pos-000690,Gly-Asp,EN-Newborn,20,0.01712256624738519,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",NA,NA,NA,high,20,0.5034445786479486,FALSE
ARRDC3,-0.4140441879056192,5.76960404403643,-7.1012263120151085,4.427653348668943e-7,5.063970387063365e-4,6.5493744143367065,,Amide-Pos-000690,Gly-Asp,EN-Newborn,20,0.017382027705672962,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",NA,NA,NA,high,20,0.24758898233589668,FALSE
LRP1B,1.200103859063545,7.776852215986938,7.04047947075123,5.052685022031595e-7,5.516154039052493e-4,6.343116401646185,,Amide-Pos-000690,Gly-Asp,EN-Newborn,20,0.019003499405802746,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",NA,NA,NA,high,20,0.41254719205218066,FALSE
