set_id,set_label,condition,source,level,set_type,gene_symbol
t2d_xue,T2D (Xue 2018),T2D,Xue 2018,paper,control,POC5
t2d_xue,T2D (Xue 2018),T2D,Xue 2018,paper,control,RCCD1
t2d_xue,T2D (Xue 2018),T2D,Xue 2018,paper,control,RP11-10L12.4
t2d_xue,T2D (Xue 2018),T2D,Xue 2018,paper,control,RPL8
t2d_xue,T2D (Xue 2018),T2D,Xue 2018,paper,control,RREB1
t2d_xue,T2D (Xue 2018),T2D,Xue 2018,paper,control,SNORA12
t2d_xue,T2D (Xue 2018),T2D,Xue 2018,paper,control,SSSCA1
t2d_xue,T2D (Xue 2018),T2D,Xue 2018,paper,control,TP53INP1
t2d_xue,T2D (Xue 2018),T2D,Xue 2018,paper,control,UBE2Z
epilepsy_union,Epilepsy (all sources),Epilepsy,union: ILAE 2023 + Zhang 2024,condition,neuro,ACTL6B
epilepsy_union,Epilepsy (all sources),Epilepsy,union: ILAE 2023 + Zhang 2024,condition,neuro,ADAM22
epilepsy_union,Epilepsy (all sources),Epilepsy,union: ILAE 2023 + Zhang 2024,condition,neuro,ADGRV1
epilepsy_union,Epilepsy (all sources),Epilepsy,union: ILAE 2023 + Zhang 2024,condition,neuro,ALDH7A1
epilepsy_union,Epilepsy (all sources),Epilepsy,union: ILAE 2023 + Zhang 2024,condition,neuro,AP2M1
epilepsy_union,Epilepsy (all sources),Epilepsy,union: ILAE 2023 + Zhang 2024,condition,neuro,AP3B2
epilepsy_union,Epilepsy (all sources),Epilepsy,union: ILAE 2023 + Zhang 2024,condition,neuro,AP3D1
epilepsy_union,Epilepsy (all sources),Epilepsy,union: ILAE 2023 + Zhang 2024,condition,neuro,ARHGEF15
epilepsy_union,Epilepsy (all sources),Epilepsy,union: ILAE 2023 + Zhang 2024,condition,neuro,ARX
epilepsy_union,Epilepsy (all sources),Epilepsy,union: ILAE 2023 + Zhang 2024,condition,neuro,ATP1A2
epilepsy_union,Epilepsy (all sources),Epilepsy,union: ILAE 2023 + Zhang 2024,condition,neuro,ATP1A3
epilepsy_union,Epilepsy (all sources),Epilepsy,union: ILAE 2023 + Zhang 2024,condition,neuro,ATP6V0A1
epilepsy_union,Epilepsy (all sources),Epilepsy,union: ILAE 2023 + Zhang 2024,condition,neuro,ATP6V0C
epilepsy_union,Epilepsy (all sources),Epilepsy,union: ILAE 2023 + Zhang 2024,condition,neuro,ATP6V1A
epilepsy_union,Epilepsy (all sources),Epilepsy,union: ILAE 2023 + Zhang 2024,condition,neuro,BCL11A
epilepsy_union,Epilepsy (all sources),Epilepsy,union: ILAE 2023 + Zhang 2024,condition,neuro,BRAT1
epilepsy_union,Epilepsy (all sources),Epilepsy,union: ILAE 2023 + Zhang 2024,condition,neuro,CACNA1A
epilepsy_union,Epilepsy (all sources),Epilepsy,union: ILAE 2023 + Zhang 2024,condition,neuro,CACNA1E
epilepsy_union,Epilepsy (all sources),Epilepsy,union: ILAE 2023 + Zhang 2024,condition,neuro,CACNA1I
epilepsy_union,Epilepsy (all sources),Epilepsy,union: ILAE 2023 + Zhang 2024,condition,neuro,CACNA2D1
epilepsy_union,Epilepsy (all sources),Epilepsy,union: ILAE 2023 + Zhang 2024,condition,neuro,CACNA2D2
epilepsy_union,Epilepsy (all sources),Epilepsy,union: ILAE 2023 + Zhang 2024,condition,neuro,CACNB4
epilepsy_union,Epilepsy (all sources),Epilepsy,union: ILAE 2023 + Zhang 2024,condition,neuro,CAD
epilepsy_union,Epilepsy (all sources),Epilepsy,union: ILAE 2023 + Zhang 2024,condition,neuro,CDK19
epilepsy_union,Epilepsy (all sources),Epilepsy,union: ILAE 2023 + Zhang 2024,condition,neuro,CDK5RAP3
epilepsy_union,Epilepsy (all sources),Epilepsy,union: ILAE 2023 + Zhang 2024,condition,neuro,CELF2
epilepsy_union,Epilepsy (all sources),Epilepsy,union: ILAE 2023 + Zhang 2024,condition,neuro,CHD2
epilepsy_union,Epilepsy (all sources),Epilepsy,union: ILAE 2023 + Zhang 2024,condition,neuro,CHRM3
epilepsy_union,Epilepsy (all sources),Epilepsy,union: ILAE 2023 + Zhang 2024,condition,neuro,CHRNA2
epilepsy_union,Epilepsy (all sources),Epilepsy,union: ILAE 2023 + Zhang 2024,condition,neuro,CHRNA4
epilepsy_union,Epilepsy (all sources),Epilepsy,union: ILAE 2023 + Zhang 2024,condition,neuro,CLCN2
epilepsy_union,Epilepsy (all sources),Epilepsy,union: ILAE 2023 + Zhang 2024,condition,neuro,CNPY3
epilepsy_union,Epilepsy (all sources),Epilepsy,union: ILAE 2023 + Zhang 2024,condition,neuro,CPA6
epilepsy_union,Epilepsy (all sources),Epilepsy,union: ILAE 2023 + Zhang 2024,condition,neuro,CPLX1
epilepsy_union,Epilepsy (all sources),Epilepsy,union: ILAE 2023 + Zhang 2024,condition,neuro,CUX2
epilepsy_union,Epilepsy (all sources),Epilepsy,union: ILAE 2023 + Zhang 2024,condition,neuro,CYFIP2
epilepsy_union,Epilepsy (all sources),Epilepsy,union: ILAE 2023 + Zhang 2024,condition,neuro,DALRD3
