"Name","n_occurrences","compound_ids","is_duplicate"
"1-Stearoyl-2-Docosahexaenoyl-Sn-Glycero-3-Phosphocholine",2,"C8-Pos-000046; C8-Pos-000140",TRUE
"1-Stearoyl-2-Hydroxy-Sn-Glycero-3-Phosphoethanolamine",2,"C8-Pos-000096; C8-Pos-000309",TRUE
"1-Stearoyl-2-Oleoyl-Sn-Glycero-3-Phosphoethanolamine",2,"Amide-Pos-000453; C8-Pos-000195",TRUE
"1-Stearoylglycerol",2,"C8-Pos-000005; C8-Pos-000052",TRUE
"1-[2-(2-Hydroxypropoxy)-1-Methylethoxy]-2-Propanol",2,"Amide-Pos-000454; Amide-Pos-000501",TRUE
"11-Hydroxy-Δ(9)-Thc",2,"C8-Pos-000426; C8-Pos-000567",TRUE
"16-Deoxyvertaline B",2,"C8-Pos-000461; C8-Pos-000466",TRUE
"18-Hete",2,"C8-Pos-000587; C8-Pos-000602",TRUE
"1h-Imidazole-4-Carboxylic Acid",2,"Amide-Neg-000175; Amide-Neg-000180",TRUE
"2,2'-(Tetradecylimino)Diethanol",2,"C18-Pos-000221; C8-Pos-000421",TRUE
"2,2,6,6-Tetramethyl-1-Piperidinol (Tempo)",2,"C18-Pos-000085; C18-Pos-000205",TRUE
"2,4(3h,5h)-Furandione",2,"Amide-Neg-000065; Amide-Neg-000077",TRUE
"2,4-Xylidine",2,"Amide-Pos-000466; Amide-Pos-000493",TRUE
"2,6-Di-Tert-Butyl-1,4-Benzoquinone",2,"C8-Pos-000373; C8-Pos-000524",TRUE
"2-(1-Piperazinyl)Acetamide",2,"Amide-Pos-000391; Amide-Pos-000451",TRUE
"2-(2h-Benzotriazol-2-Yl)-4,6-Bis(1-Methyl-1-Phenylethyl)Phenol",2,"C8-Pos-000047; C8-Pos-000272",TRUE
"2-(Tetradecylamino)Ethanol",2,"C18-Pos-000229; C8-Pos-000456",TRUE
"2-Amino-1,3,4-Octadecanetriol",2,"C8-Pos-000511; C8-Pos-000563",TRUE
"2-Amino-4-Methylpyrimidine",2,"Amide-Pos-000241; Amide-Pos-000355",TRUE
"2-Arachidonoyl Glycerol",2,"C8-Pos-000093; C8-Pos-000150",TRUE
"2-Decylmalonic Acid",2,"C8-Pos-000696; C8-Pos-000715",TRUE
"2-Deoxyribose 5-Phosphate",2,"Amide-Neg-000003; Amide-Neg-000040",TRUE
"2-Docosahexaenoyl-1-Stearoyl-Sn-Glycero-3-Phosphoethanolamine",2,"C8-Neg-000046; C8-Pos-000092",TRUE
"2-Docosahexaenoyl-1-Stearoyl-Sn-Glycero-3-Phosphoserine",2,"C8-Neg-000003; C8-Pos-000032",TRUE
"2-Methoxypyrazine",2,"Amide-Pos-000089; Amide-Pos-000123",TRUE
"2-Methylbenzoic Acid",2,"Amide-Neg-000398; Amide-Neg-000583",TRUE
"2-Methylmaleate",2,"Amide-Pos-000564; C18-Pos-000322",TRUE
"2-Piperazinecarboxamide",2,"Amide-Pos-000197; Amide-Pos-000243",TRUE
"3'-Adenosine Monophosphate (3'-Amp)",2,"C8-Pos-000055; C8-Pos-000057",TRUE
"3-(3,5-Di-Tert-Butyl-4-Hydroxyphenyl)Propanoic Acid",2,"C8-Neg-000038; C8-Neg-000049",TRUE
"3-(Ethenyloxy)Propan-1-Amine",2,"Amide-Pos-000082; Amide-Pos-000229",TRUE
"3-Hydrazinylpyridazine",2,"Amide-Pos-000254; Amide-Pos-000255",TRUE
"3-Hydroxybutyric Acid",2,"Amide-Neg-000187; Amide-Neg-000273",TRUE
"3-Ureidopropionic Acid",2,"C18-Neg-000145; C18-Pos-000189",TRUE
"3-[1-Decenyl]Dihydro-2,5-Furandione",2,"C8-Pos-000478; C8-Pos-000490",TRUE
"4-Methyloxazole-5-Carboxylic Acid",2,"Amide-Neg-000354; Amide-Neg-000492",TRUE
"4-Piperidinecarboxamide",2,"Amide-Pos-000352; Amide-Pos-000365",TRUE
"5(Z),8(Z),11(Z)-Eicosatrienoic Acid Methyl Ester",2,"C8-Pos-000663; C8-Pos-000669",TRUE
"5-(Hydroxymethyl)-3-(1-Hydroxy-8-Methylnonyl)Oxolan-2-One",2,"C8-Pos-000646; C8-Pos-000654",TRUE
"5-Methyl-2-Oxo-1,3-Oxazolidine-4-Carboxylic Acid",2,"Amide-Neg-000324; Amide-Neg-000378",TRUE
"5-Methylcytosine",2,"Amide-Pos-000187; Amide-Pos-000290",TRUE
