Compound.ID,Name,Super.Class,Class,n_genes,n_cell_types
Amide-Pos-001270,2-Acetamido-N-Β-Aspartyl-2-Deoxyhexopyranosylamine,Organic oxygen compounds,Organooxygen compounds,99,3
C8-Neg-003377,Pi(16:1_18:3),Lipids and lipid-like molecules,Glycerophospholipids,99,4
C8-Pos-005192,Ps(20:5_24:4),Lipids and lipid-like molecules,Glycerophospholipids,98,2
Amide-Pos-001317,N-Acetyl-Neuraminic Acid,Organic oxygen compounds,Organooxygen compounds,96,2
C8-Pos-001076,Bis(Methylbenzylidene)Sorbitol,Phenylpropanoids and polyketides,Cinnamyl alcohols,96,8
C8-Pos-000022,Chalcone,Phenylpropanoids and polyketides,"Linear 1,3-diarylpropanoids",94,4
Amide-Neg-001321,Cytidine,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleosides,93,4
Amide-Pos-001385,"[2,2'-Biquinoline]-4,4'-Dicarboxylic Acid",Organoheterocyclic compounds,Quinolines and derivatives,92,6
C8-Pos-000208,Opeo,Benzenoids,Benzene and substituted derivatives,92,3
C18-Pos-000839,Triethyl Phosphate,Organic acids and derivatives,Organic phosphoric acids and derivatives,90,1
C18-Pos-001575,Asp-Phe,Organic acids and derivatives,Carboxylic acids and derivatives,90,2
C8-Pos-005313,Pe(21:4cooh_24:6),Lipids and lipid-like molecules,Glycerophospholipids,87,3
C8-Pos-004874,Pc(6:0cooh_30:1),Lipids and lipid-like molecules,Glycerophospholipids,84,1
Amide-Pos-000144,2-Aminoisobutyric Acid,Organic acids and derivatives,Carboxylic acids and derivatives,79,4
Amide-Neg-000405,L-Threonic Acid Calcium Salt,Organic oxygen compounds,Organooxygen compounds,77,3
Amide-Neg-000142,Pyrrole-2-Carboxylic Acid,Organoheterocyclic compounds,Pyrroles,72,1
Amide-Neg-001943,5'-Xanthylic Acid,"Nucleosides, nucleotides, and analogues",Purine nucleotides,72,5
Amide-Pos-000319,L-Glutamic Acid,Organic acids and derivatives,Carboxylic acids and derivatives,70,5
Amide-Pos-000836,Cystathionine,Organic acids and derivatives,Carboxylic acids and derivatives,68,8
C8-Pos-004266,Ganglioside-Gm1(D18:1/18:0),Lipids and lipid-like molecules,Sphingolipids,67,2
