gene,loeuf,exp_lof,n_metabolites,is_hit,is_recurrent,mean_expr
ADGRF3,1.0919,93.229,0,FALSE,FALSE,2.2812627036934763
ADGRF4,1.3294,58.451,0,FALSE,FALSE,0.17521263022029504
ADGRF5,0.68691,132.31,0,FALSE,FALSE,4.152549402090142
ADGRG1,0.90703,73.458,0,FALSE,FALSE,4.321746504807016
ADGRG2,0.48704,74.073,0,FALSE,FALSE,3.888027344975172
ADGRG3,0.93841,54.283,0,FALSE,FALSE,0.6434664774038434
ADGRG5,0.91461,53.22,0,FALSE,FALSE,0.61396859834662465
ADGRG6,0.70731,142.39,0,FALSE,FALSE,5.457412849008585
ADGRG7,1.1127,88.551,0,FALSE,FALSE,1.1627048668480469
ADGRL1,0.28102,148.88,0,FALSE,FALSE,5.55258038582281
ADGRL1-AS1,NA,NA,0,FALSE,FALSE,3.088534775423313
ADGRL2,0.35947,157.38,1,TRUE,FALSE,8.147600294625347
ADGRL3,0.49903,153.5,0,FALSE,FALSE,10.928656000718952
ADGRL3-AS1,NA,NA,0,FALSE,FALSE,2.4803151320143324
ADGRL4,1.4345,74.755,0,FALSE,FALSE,4.330316818292315
ADGRV1,0.65709,596.22,6,TRUE,TRUE,9.875838365823448
ADH1A,1.1235,35.196,0,FALSE,FALSE,1.2225371478807727
ADH1B,1.1435,34.58,0,FALSE,FALSE,0.30264674258775953
ADH4,1.1891,35.185,0,FALSE,FALSE,2.689684323309433
ADH5,1.0655,40.342,0,FALSE,FALSE,4.879525685450145
ADH6,1.2409,36.479,0,FALSE,FALSE,2.291581052767401
ADHFE1,0.88902,54.752,0,FALSE,FALSE,3.635286559677188
ADI1,1.6202,18.665,0,FALSE,FALSE,3.6059322151451507
ADIPOR1,0.61584,37.505,0,FALSE,FALSE,3.434389500357486
ADIPOR2,0.65225,40.923,0,FALSE,FALSE,5.805620781687195
ADIRF,2.0146,7.7957,0,FALSE,FALSE,1.2164658155045596
ADIRF-AS1,NA,NA,0,FALSE,FALSE,0.6243940530487829
ADISSP,NA,NA,0,FALSE,FALSE,3.3005726179217953
ADK,0.75574,44.662,0,FALSE,FALSE,8.410330355356963
ADM5,1.646,2.882,0,FALSE,FALSE,0.49135382924855736
ADNP,0.10777,84.936,0,FALSE,FALSE,7.4826335707072715
ADNP-AS1,NA,NA,0,FALSE,FALSE,2.2610457952240286
ADNP2,0.88261,16.354,0,FALSE,FALSE,4.903264268853416
ADO,0.94691,16.586,0,FALSE,FALSE,2.500216234747013
ADORA1,0.59496,19.904,0,FALSE,FALSE,2.984379620666014
ADORA2A,0.98849,18.42,0,FALSE,FALSE,2.1814142421771496
