hormone,subset,compound_id,Name,Super.Class,Pathways,rho,p,fdr,n
E2,Sex-combined,Amide-Neg-000094,Levulinic Acid,Organic acids and derivatives,NA,0.3105263157894737,0.19568892952555766,0.9744029589298666,19
E2,Sex-combined,C8-Neg-000086,Myristic Acid,Lipids and lipid-like molecules,R-HSA-112310;R-HSA-2980736;R-HSA-381771;R-HSA-400508;R-HSA-425397;R-HSA-444209;R-HSA-5619108;R-HSA-804914;WP4724,0.3097744360902256,0.1838064324119103,0.9744029589298666,20
E2,Sex-combined,Amide-Pos-000296,5-Methylcytosine,Organoheterocyclic compounds,R-HSA-212300;R-HSA-427413;R-HSA-5221030;R-HSA-5250941;R-HSA-5334118;R-HSA-73728;R-HSA-73854;R-HSA-73864;R-HSA-9816359;R-HSA-9821002;R-HSA-9842860;R-HSA-9845323;WP3585,-0.3082706766917293,0.18605556077810143,0.9744029589298666,20
E2,Sex-combined,C8-Neg-000432,"8z,11z,14z-Eicosatrienoic Acid",Lipids and lipid-like molecules,map00592;R-HSA-2980736;R-HSA-381771;R-HSA-400508;R-HSA-444209;WP4586;WP4723;WP4853,-0.3082706766917293,0.18605556077810143,0.9744029589298666,20
E2,Sex-combined,Amide-Neg-000078,Isobutyric Acid,Organic acids and derivatives,NA,0.30526315789473685,0.19060938739632305,0.9744029589298666,20
E2,Sex-combined,Amide-Neg-000158,Maleic Hydrazide,Organoheterocyclic compounds,NA,0.30526315789473685,0.19060938739632305,0.9744029589298666,20
E2,Sex-combined,Amide-Pos-000447,L-2-Aminoadipic Acid,Organic acids and derivatives,map00310;R-HSA-71064;WP4228;WP4519,0.30526315789473685,0.19060938739632305,0.9744029589298666,20
E2,Sex-combined,C8-Neg-003644,Pc(21:1cooh_23:6),Lipids and lipid-like molecules,NA,0.30526315789473685,0.19060938739632305,0.9744029589298666,20
E2,Sex-combined,Amide-Pos-000937,Cytarabine,"Nucleosides, nucleotides, and analogues",NA,-0.3022556390977444,0.19523758072220276,0.9744029589298666,20
E2,Sex-combined,Amide-Neg-000678,Dehydroascorbic Acid,Organoheterocyclic compounds,map00350,0.30000000000000004,0.2120743320967533,0.9744029589298666,19
