"Compound.ID","Name","Formula","Sample01","Sample08","Sample09","Sample10","Sample19","Sample20","Sample32","Sample35"
"C8-Pos-003646","Pe O-18:1_16:0","C39 H78 N O7 P",13100502.2996548,19930999.0984673,9091328.96463497,10218828.0996924,19618943.7348165,8190531.98699533,11083872.2045678,15807359.9367891
"C8-Pos-004304","Pe O-18:1_22:5","C45 H80 N O7 P",7331886.44173716,6616594.76525829,NA,5329045.91791544,8947107.89784657,NA,5695339.10076419,7267736.91543727
"C8-Neg-001947","Pe(12:1_11:2)","C28 H50 N O8 P",189138.912944153,533621.359041182,90023.0618924934,160397.342073799,256705.397317639,63663.7624615904,190067.245948945,312476.723959495
"C8-Pos-002631","Pe(13:1_10:3)","C28 H48 N O8 P",19985300.6212087,34598380.1099139,11373253.358205,8199426.1878178,18277497.0512942,6837004.16408645,19178988.5920274,27881366.6071059
"C8-Pos-002348","Pe(14:0_5:0cho)","C24 H46 N O9 P",526482.398011045,418823.754231349,118908.763120029,88469.5528194368,261526.382062222,NA,174944.317567356,375667.464967606
"C8-Pos-004139","Pe(16:0_20:4)","C41 H74 N O8 P",744676.08171424,2201291.16399165,3621732.35097976,4606943.7966247,594953.48202893,5200875.79436599,1910364.13466964,515552.33505035
"C8-Pos-004333","Pe(17:5cho_22:6)","C44 H64 N O9 P",113950.484232903,NA,86940.0568506149,82684.5909021835,NA,97997.8345131733,148611.889840492,61710.7723906457
"C8-Pos-004202","Pe(18:0_20:4)","C43 H78 N O8 P",420247886.828912,544085271.005618,382680375.845935,328016055.087875,458046289.900785,360098248.037747,511267620.55543,460968452.88832
"C8-Neg-003487","Pe(19:1cooh_24:4)","C48 H84 N O10 P",6822744.94171551,10226646.7148064,4363880.61385436,6164557.00550628,12453383.0932348,3898060.40993773,6924582.27005239,6569090.24436622
"C8-Neg-003656","Pe(19:1cooh_28:3)","C52 H94 N O10 P",501349.60948834,836791.202672183,329578.976809555,440529.443616966,582767.258637263,179857.039782733,559149.02499139,564366.681478544
"C8-Pos-004114","Pe(19:4_19:4)","C43 H70 N O8 P",513373.02897576,187885.1070199,149668.202466896,NA,362742.40329168,223932.794543325,279797.062620081,NA
"C8-Pos-004916","Pe(21:0_21:5)","C47 H84 N O8 P",2331348.42691169,2018664.87727689,2123855.66981501,2071111.9329978,1289418.17784736,2280735.24336317,1851640.35835541,1614762.61156894
"C8-Pos-005188","Pe(22:2_21:4cooh)","C48 H82 N O10 P",26441660.0460714,26658123.4299792,21349970.5883403,19365615.4575626,27986014.4871357,17519254.5729416,27180009.3557673,30846.9098449682
"C8-Neg-003594","Pe(22:3_26:5)","C53 H90 N O8 P",24514.5841160153,NA,32269.5254227252,NA,52642.7454695644,184161.462457129,29037.7099046527,31740.9157433029
"C8-Neg-003474","Pe(26:2_17:5cooh)","C48 H80 N O10 P",312810.272049805,2020507.07274891,157441.066005195,202321.904389701,265006.051272057,NA,518225.998491563,558740.803654926
"C8-Pos-005302","Pe(26:4_19:6cooh)","C50 H78 N O10 P",4129797.67848303,2843065.57190157,4934121.16684213,4303081.09490304,4721471.73777963,5393054.52059826,4790272.30105579,4142485.78325098
"C8-Neg-002139","Pe(3:0_20:0cho)","C28 H54 N O9 P",86757.0191100335,96948.4471370759,NA,52426.5419860431,104487.49397752,NA,41102.4563103531,83441.72835189
"C8-Pos-002819","Pe(7:0_16:0cho)","C28 H54 N O9 P",487853.747098631,1429798.732585,284388.490759937,150699.934102987,715910.479072675,191569.608419726,443248.107477377,548474.010674194
"C8-Pos-005110","Pe(O-14:0_32:0)","C51 H104 N O7 P",2563470.50456128,663897.338766361,1935091.44084186,1758971.22804744,1938475.96803779,2121238.17734646,1295763.85964457,954843.876242272
"C8-Pos-004273","Pe(O-16:2_22:3)","C43 H78 N O7 P",3939856.64086783,2785660.25097316,4563600.50421944,4942357.99365955,3217120.31749451,5835756.23381993,4073914.2590041,3702647.36954756
"C8-Pos-004072","Pe(O-17:3_21:1)","C43 H80 N O7 P",8007859.78180017,23856725.1899065,4882523.80661012,4078780.04776852,9238743.29917568,3744579.70754455,4645487.64036073,3692415.92858333
"C8-Pos-004759","Pe(O-20:1_22:6)","C47 H82 N O7 P",1007856.6340191,592123.449683723,850133.029395525,892403.786963703,511497.591458661,786696.631631731,502393.423600745,580196.559445327
"C8-Pos-003685","Pe(O-26:3_7:0)","C38 H72 N O7 P",139168.122833823,710729.677930886,939802.519389393,57393.6056966351,154739.96180095,244044.106216738,101849.003612868,147612.575346897
"C8-Pos-003830","Pe(P-11:0_23:0)","C39 H78 N O7 P",922112.928449342,2605048.91382674,3203255.94569289,1864894.74207898,2391199.23215844,1511939.84694373,2513446.86649218,3914045.66666556
"C8-Pos-004505","Pe(P-19:4_23:5)","C47 H76 N O7 P",1365470.97171321,924794.831860365,2381669.35744766,2008904.537361,1868999.11725208,2586217.94402884,1525252.95792048,1220550.29134115
