"Name","n_occurrences","compound_ids","is_duplicate"
"D,L-Serine",3,"Amide-Neg-000119; Amide-Neg-000127; C18-Neg-000012",TRUE
"D-(-)-Mannitol",3,"Amide-Neg-000784; Amide-Neg-000787; C18-Neg-000334",TRUE
"D-Glucose 6-Phosphate",3,"Amide-Neg-001431; Amide-Neg-001433; Amide-Pos-001037",TRUE
"D-Proline",3,"Amide-Neg-000174; Amide-Pos-000224; Amide-Pos-000227",TRUE
"D-Α-Hydroxyglutaric Acid",3,"Amide-Neg-000501; Amide-Neg-000511; C18-Neg-000146",TRUE
"Dehydroascorbic Acid",3,"Amide-Neg-000678; Amide-Neg-000696; C18-Neg-000282",TRUE
"Dl-P-Hydroxyphenyllactic Acid",3,"Amide-Neg-000782; Amide-Neg-000783; C18-Neg-000335",TRUE
"Dl-Xylose",3,"Amide-Neg-000332; Amide-Neg-000515; C18-Neg-000065",TRUE
"Docosahexaenoic Acid",3,"C8-Neg-000532; C8-Neg-000534; C8-Pos-000879",TRUE
"Erucamide",3,"C18-Pos-002174; C18-Pos-002175; C8-Pos-000798",TRUE
"Ethyl 3-Oxo-3-(1h-Pyrazol-5-Ylamino)Propanoate",3,"Amide-Pos-000718; Amide-Pos-000719; C18-Pos-000960",TRUE
"Glycerophosphocholine",3,"Amide-Pos-001017; Amide-Pos-001020; C18-Pos-001397",TRUE
"Hypotaurine",3,"Amide-Neg-000136; Amide-Pos-000072; C18-Neg-000014",TRUE
"L-(-)-Methionine",3,"Amide-Pos-000496; C18-Pos-000574; C18-Pos-000575",TRUE
"L-Glutarylcarnitine",3,"Amide-Pos-001103; C18-Pos-001541; C18-Pos-001543",TRUE
"L-Threonic Acid Calcium Salt",3,"Amide-Neg-000404; Amide-Neg-000405; C18-Neg-000102",TRUE
"L-Tyrosine",3,"Amide-Pos-000643; C18-Pos-000831; C18-Pos-000832",TRUE
"Maleic Acid",3,"Amide-Neg-000196; Amide-Neg-000198; C18-Neg-000026",TRUE
"Myristyl Sulfate",3,"Amide-Neg-001639; Amide-Neg-001640; C8-Neg-000367",TRUE
"N-Acetyl-D-Glucosamine 6-Phosphate",3,"Amide-Neg-001670; Amide-Pos-001138; Amide-Pos-001139",TRUE
"N-Acetyl-L-Alanine",3,"C18-Neg-000058; C18-Neg-000059; C18-Pos-000380",TRUE
"N-Acetyl-L-Methionine",3,"Amide-Neg-000866; C18-Neg-000383; C18-Pos-000777",TRUE
"N-Acetylputrescine",3,"Amide-Pos-000336; Amide-Pos-000337; C18-Pos-000359",TRUE
"N8-Acetylspermidine",3,"Amide-Pos-000660; Amide-Pos-000661; C18-Pos-000876",TRUE
"Nicotinamide Adenine Dinucleotide (Nad+)",3,"C18-Pos-002110; C18-Pos-002114; C8-Pos-003386",TRUE
"Ondansetron",3,"Amide-Pos-001175; C18-Pos-001705; C8-Pos-000454",TRUE
"Ophthalmate",3,"Amide-Neg-001616; Amide-Pos-001163; C18-Neg-001053",TRUE
"Palmitoyl Ethanolamide",3,"C18-Pos-001759; C8-Pos-000383; C8-Pos-000497",TRUE
"Pe(18:0_20:4)",3,"Amide-Pos-002290; C8-Pos-004202; C8-Pos-004204",TRUE
"Peg N11",3,"Amide-Pos-001857; C18-Pos-004284; C8-Pos-002320",TRUE
"Peg N6",3,"Amide-Pos-001134; C18-Pos-001609; C8-Pos-000389",TRUE
"Peg N8",3,"Amide-Pos-001506; C18-Pos-002558; C8-Pos-001222",TRUE
"Pentadecanoic Acid",3,"Amide-Neg-001316; C8-Neg-000128; C8-Neg-000129",TRUE
"Pro-Asp",3,"Amide-Neg-001250; Amide-Pos-000865; Amide-Pos-000866",TRUE
"Propionylcarnitine",3,"Amide-Pos-000824; C18-Pos-001104; C18-Pos-001106",TRUE
"Ps 22:3_22:4",3,"C8-Neg-003553; C8-Pos-005221; C8-Pos-005224",TRUE
