"Compound.ID","Name","Formula","Sex","mean_intensity","display_name"
"C8-Pos-100426",NA,"C29 H46 N2 O3 S","F",3051561.09593596,"C8-Pos-100426"
"C8-Neg-100079",NA,"C3 H8 Cl N6 O7 P3","F",3047988.13350053,"C8-Neg-100079"
"Amide-Neg-100200",NA,"C6 H10 O8","F",3046242.4318471,"Amide-Neg-100200"
"C18-Pos-100290",NA,"C4 H N2 O4 P3 S","F",3044534.30307132,"C18-Pos-100290"
"C18-Pos-100302",NA,"C11 H23 N3 O2","F",3039605.79494345,"C18-Pos-100302"
"Amide-Pos-100165",NA,"C4 H7 O7 P3","F",3036172.54823201,"Amide-Pos-100165"
"Amide-Neg-000260","Xylitol","C5 H12 O5","F",3035973.26607903,"Xylitol"
"Amide-Pos-000325","L-Serine","C3 H7 N O3","F",3035534.14223182,"L-Serine"
"Amide-Neg-100247",NA,"C6 H12 Cl N O6","F",3035472.53830553,"Amide-Neg-100247"
"C8-Pos-000157","17-(1-Hydroxyethyl)-10,13-dimethyl-2,3,6,7,8,9,10,11,12,13,14,15,16,17-tetradecahydro-1H-cyclopenta[a]phenanthren-3-one","C21 H32 O2","F",3032966.84002579,"17-(1-Hydroxyethyl)-10,13-dimethyl-2,3,6,7,8,9,10,11,12,13,14,15,16,17-tetradecahydro-1H-cyclopenta[a]phenanthren-3-one"
"C8-Pos-000299","Docosapentaenoic acid methyl ester","C23 H36 O2","F",3031434.65760587,"Docosapentaenoic acid methyl ester"
"C18-Pos-000189","3-Ureidopropionic acid","C4 H8 N2 O3","F",3030864.96905222,"3-Ureidopropionic acid"
"C8-Neg-100256",NA,"C7 H23 Cl N6 O18 P2","F",3023635.41116476,"C8-Neg-100256"
"Amide-Pos-000320","S-Adenosylmethionine","C15 H22 N6 O5 S","F",3017911.85827125,"S-Adenosylmethionine"
"C18-Pos-100168",NA,"C3 H2 N4 O P2","F",3011112.2809815,"C18-Pos-100168"
"C8-Pos-100296",NA,"C32 H76 N9 O15 P","F",2999707.29756646,"C8-Pos-100296"
"C18-Neg-100139",NA,"C6 H20 N5 O4 P S2","F",2998850.35281009,"C18-Neg-100139"
"Amide-Neg-100223",NA,"C4 H10 N2 O7 S","F",2988783.47598728,"Amide-Neg-100223"
"C18-Neg-100061",NA,"C11 H15 N O10","F",2988485.67404371,"C18-Neg-100061"
"Amide-Pos-100188",NA,"C14 H31 N O","F",2987866.4083919,"Amide-Pos-100188"
"C18-Pos-100176",NA,"C37 H80 N3 O10 P3","F",2987414.40244613,"C18-Pos-100176"
"Amide-Pos-100212",NA,"C6 H11 N O5","F",2982761.37739396,"Amide-Pos-100212"
"C8-Neg-100158",NA,"C9 H19 N4 O4 P3 S2","F",2979760.15466178,"C8-Neg-100158"
"Amide-Pos-000234","Melamine","C3 H6 N6","F",2979164.10478666,"Melamine"
"C18-Pos-000193","L-(+)-Citrulline","C6 H13 N3 O3","F",2976959.98123219,"L-(+)-Citrulline"
"Amide-Neg-100266",NA,"C6 H7 N3 O P2","F",2976523.49340755,"Amide-Neg-100266"
"C18-Pos-100294",NA,"C24 H33 N O6","F",2973753.66895959,"C18-Pos-100294"
"C18-Pos-100270",NA,"C3 H5 Cl N6 O3 P2","F",2972395.70666035,"C18-Pos-100270"
"Amide-Neg-100082",NA,"C7 H10 O6","F",2967411.09268644,"Amide-Neg-100082"
"C18-Neg-000102","2-Hydroxycaproic acid","C6 H12 O3","F",2966709.14488325,"2-Hydroxycaproic acid"
