"Compound.ID","Name","Formula","GW_bucket","mean_intensity","display_name"
"Amide-Neg-000602","N-Acetyl-L-carnosine","C11 H16 N4 O4","22-24",58233.8860405181,"N-Acetyl-L-carnosine"
"C8-Neg-101835",NA,"C33 H68 N4 O4 P2 S","22-24",58229.2921413092,"C8-Neg-101835"
"C8-Pos-102070",NA,"C36 H65 N5 O5 P2","22-24",58220.4366611254,"C8-Pos-102070"
"C18-Pos-101153",NA,"C26 H61 N7 O3 P2 S","22-24",58115.7378757659,"C18-Pos-101153"
"Amide-Pos-100743",NA,"C19 H10 N3 O2 P","22-24",58105.3338819327,"Amide-Pos-100743"
"C8-Neg-101849",NA,"C23 H51 N2 O6 P3 S","22-24",58015.4481613121,"C8-Neg-101849"
"C18-Pos-101084",NA,"C20 H53 N10 O6 P","22-24",58010.4328364461,"C18-Pos-101084"
"C18-Pos-100828",NA,"C31 H67 N3 O12 P2 S","22-24",58001.7103330421,"C18-Pos-100828"
"C18-Neg-100658",NA,"C2 H6 Cl2 N O6 P","22-24",57977.4119680111,"C18-Neg-100658"
"C18-Pos-101053",NA,"C48 H82 N8 O14 P2","22-24",57947.5063728207,"C18-Pos-101053"
"C8-Neg-101583",NA,"C23 H29 N6 O4 P3 S5","22-24",57923.0742049794,"C8-Neg-101583"
"C8-Pos-102161",NA,"C10 H24 N6 O4 S","22-24",57878.1737685663,"C8-Pos-102161"
"C8-Pos-102226",NA,"C35 H76 N5 O3 P S","22-24",57864.6573855836,"C8-Pos-102226"
"C8-Pos-102101",NA,"C29 H47 N O S","22-24",57847.9010348893,"C8-Pos-102101"
"C8-Pos-102102",NA,"C20 H45 N3 O7","22-24",57847.9010348893,"C8-Pos-102102"
"C18-Pos-101264",NA,"C89 H123 N7 O12 P2","22-24",57784.2829093871,"C18-Pos-101264"
"C8-Neg-101590",NA,"C4 H10 N4 O5 P2 S","22-24",57781.6723673888,"C8-Neg-101590"
"C8-Neg-101813",NA,"C7 H24 Br N10 O P3","22-24",57720.9736613355,"C8-Neg-101813"
"C18-Pos-000326","Imidazoleacetic acid","C5 H6 N2 O2","22-24",57698.8425661213,"Imidazoleacetic acid"
"C18-Pos-101212",NA,"C89 H127 N5 O11 P2 S2","22-24",57668.8193726154,"C18-Pos-101212"
