Name,Sample02,Sample03,Sample04,Sample06,Sample07,Sample13,Sample15,Sample17,Sample18,Sample21,Sample23,Sample24,Sample26,Sample31,Sample33,Sample37,Sample40,Sample41,Sample42,Sample43,Sample46,Sample47,Sample49,Sample50
Label,F,F,M,F,M,F,M,M,F,F,M,F,M,F,F,M,F,M,F,F,M,M,M,M
LPE 24:4,414951.580126922,687051.37904604,561454.758852912,642527.225555996,482727.035327805,366968.898366907,390283.10404371,316630.802873096,686921.888822824,617878.485127765,420520.853781792,319655.459007099,551882.37476177,169645.458121984,291396.236645375,458994.763254659,393540.897086232,537448.330194135,301084.605419932,378995.802219916,346050.846895007,379045.165648105,360574.733459092,921332.329892146
LPE 24:5,1566463.89241355,2059110.6186588,1582985.81146203,2566912.70793247,1868343.14380868,1347790.65956499,1524831.14233439,1353456.36826356,2274119.55258415,2564545.26917231,1747577.26742916,1271279.27666039,1862974.95148696,1037970.45166317,1321093.16980211,1944414.72426711,1639381.08247719,2136146.10394366,1109209.86471025,1479407.37422822,1661479.74203461,1558042.17581883,1717732.39201857,2451181.04000899
LPE 38:4,3486724.95065856,5831559.01368116,8475506.72318485,3203479.12106553,3363906.84883892,6610969.80690144,5400378.68742833,3385215.44015109,1977109.57418373,447968.922184536,4550746.9212068,5821493.5699278,4076231.94804087,3343603.49392297,4176954.3128463,6259694.64745925,4454987.27133714,7082922.31549226,10560431.8430394,5759453.59285249,6501661.53813402,3848139.63022667,7147591.33812393,7821448.6928366
LPE O-16:1,9374079.67550139,17949888.2840572,NA,7908808.17880527,12279224.6219247,7544432.31319337,10061325.2021507,8195252.13944112,12463210.4176109,6110913.10655945,7570951.08299841,9221248.35255127,NA,5537288.83082131,NA,8351377.52674263,7663832.4042646,7767915.40963103,8167643.23525651,NA,8115778.60800288,8161703.82740784,8966310.60796821,9995393.43914
LPE O-18:1,NA,NA,2926520.51376738,1756132.12119232,3327898.48808294,NA,2614461.64039513,NA,NA,NA,1973569.11752287,5354562.74857449,NA,NA,NA,2121938.45816231,1869588.6178493,1750773.62921273,2343917.74463556,2030341.34448295,2181272.31991356,2200864.09868272,2174084.54989596,NA
LPE O-18:2,2317003.89944362,5296656.19574224,2803926.20311494,2310496.59947462,3490704.79559606,2575050.64234623,2180427.1628142,2984868.91348654,5004553.2600508,1871802.7303314,2337556.82951445,3650314.96445548,2659755.12322251,2197380.39877335,4082511.49737269,2308404.4427594,3035689.80529284,2452296.48094368,2905676.45685281,2292479.44985203,2913851.56354606,2030290.43989504,3141952.24076286,2879369.50376986
LPI 18:0,841146.447451239,1101718.86078174,1047166.53549248,2928347.51151636,2307263.97738115,648915.653168861,1359559.83830015,891968.006706818,10976770.4198452,2043362.67307694,4706988.40960012,2489531.05618734,1575860.40215037,834301.336974102,958344.613142041,1446220.54873664,1903694.3707645,751095.877395134,1802761.14854407,2691120.7912365,1304514.69122407,780747.584413592,819334.227938324,884589.963758184
LPI 20:4,933882.074489493,1174667.66613892,1115518.1356049,1426478.01236869,1491417.95440787,619681.281568309,1006626.14203627,1445888.92101894,1988788.61208836,921301.394458688,1234870.05914227,928506.009441745,1669355.17972351,882856.434525898,798856.09738366,1104515.22686828,912894.826263362,709962.360817038,817825.648660314,1224847.15616219,848847.316318414,959180.500022112,1185245.02106219,767537.358354749
LPS 18:0,2197680.66533413,1537034.84020665,4737619.65913917,891311.790768791,3682481.12192959,NA,2804243.61342788,2153870.65045398,1083900.60870307,1612747.89280291,1614836.52892434,3025846.50833918,2497964.32934592,NA,703912.697507718,1030297.04069176,700968.513810107,1789837.27621672,797088.443914197,665918.133022326,NA,2056456.26579557,1934054.82114462,2184305.67737256
LPS 22:6,1289952.58469602,1594949.82088303,1735104.16467187,1452911.50660797,2195570.77168066,680727.082655127,229112.243405987,124701.739427447,1274525.67755227,230581.162605179,1297230.16002611,242864.324713585,1433057.29707636,NA,149493.25299263,1246631.21827146,164614.767334615,NA,882460.993751999,269302.931478506,NA,NA,991415.677355088,131335.253214235
Lauric acid ethyl ester,1652173.3268173,1597026.99278941,1614331.9200458,1739658.10368256,1554370.2487799,1622780.90395183,1678960.25944251,1594413.43589319,1650269.07340464,1773588.50079803,1252872.54968297,1280297.93941022,1678541.10133124,1338935.7071442,1506331.82159959,1750976.61436034,1690889.73141179,1601905.48079179,1218386.60081469,1783310.81144909,1597716.92599804,1589491.42302811,1645158.85879393,1637277.22990913
