"Compound.ID","Name","Formula","Sample02","Sample03","Sample04","Sample06","Sample07","Sample13","Sample15","Sample17","Sample18","Sample21","Sample23","Sample24","Sample26","Sample31","Sample33","Sample37","Sample40","Sample41","Sample42","Sample43","Sample46","Sample47","Sample49","Sample50"
"C8-Pos-101479",NA,"C40 H80 N2 O5",271437.608532964,331718.232726766,281240.140760672,188018.575179417,82480.6221353785,365047.067528592,NA,424096.171824216,120713.571742213,NA,83799.6240050244,191279.755881338,493148.010908405,395646.683580198,354802.881796907,136839.359983494,246937.906727481,436882.9560216,184033.468208892,170543.686090859,92289.8045597962,252120.1136915,373547.463180203,162674.219342305
"C8-Pos-101480",NA,"C19 H40 N2 O",49550.7787447048,116891.185842471,184185.828052462,109406.300707952,101679.038841215,137122.354419851,83794.9033151627,324536.106434922,491873.607130678,61769.6671955927,69991.1469666405,61269.2898281354,131166.101304201,76701.7408264904,90899.2227229026,100540.969021525,45486.7786592703,188701.163962303,60479.4809499359,63081.2750240232,43091.3449523663,54083.0874293838,256402.812498389,70226.8428801198
"C8-Pos-101481",NA,"C20 H38 O4",255129.951037426,211386.360766987,187085.051895941,489591.237743855,441005.517749735,363039.360671297,376524.648623372,426773.455329935,253035.472099803,110516.828542537,282528.448388551,178003.561927825,177991.948778322,300560.612021945,253491.114279289,300964.395192486,NA,205577.919715787,176608.470924407,247934.229754609,183581.414353105,178376.379571238,218239.182618143,185034.236130987
"C8-Pos-101482",NA,"C18 H44 N6 O S",379534.044054304,440713.532683716,461806.014659546,487905.820795643,464006.232365941,479913.924703746,446600.292362308,431270.860209476,373444.828779102,424000.175339522,121899.814205372,442155.905398884,435257.734678025,407200.153745197,483239.591928973,375448.852285411,119976.235296312,445897.371318749,388751.214476194,306998.150034344,104091.490871217,450952.457308172,387811.463019545,335438.09261571
"C8-Pos-101483",NA,"C22 H36 O",NA,289055.432102162,294929.341651212,NA,NA,309662.888072571,NA,428406.297940492,NA,NA,59611.1605034951,272210.567922228,390453.42131469,281591.836991847,280309.244380044,NA,171834.747084774,486627.3092131,105309.255487387,139460.434736111,NA,106295.560876537,240706.392093629,NA
"C8-Pos-101484",NA,"C19 H40 N2 O",56448.968016747,34991.5148464608,NA,74328.790338925,61965.3394221886,352047.503998073,NA,61593.5234048701,NA,39471.8449584845,62488.878623514,222210.904960792,140174.832733757,485562.772932339,283533.091583273,186626.958385202,NA,114739.620249773,NA,446559.002533263,294908.17394722,460142.701054788,185988.482397463,204018.594704988
"C8-Pos-101485",NA,"C55 H93 N3 O7 S",180222.865806864,357700.348904013,289373.15891245,87874.5774215074,158680.841996077,NA,126958.236695956,NA,374863.533886723,172313.37290523,53996.6264905845,483413.675045732,NA,305180.376320865,145912.460528593,NA,120975.814012874,262999.294480461,223735.56172358,NA,316716.044643062,287841.987779483,333457.447601148,55250.7961181636
"C8-Pos-101486",NA,"C18 H39 N7 O3 S",393826.591610017,466484.791114817,442688.78754242,393935.154305031,426311.682577583,392396.771516629,436580.255574554,401425.6891305,424881.465475191,361687.995214427,384981.20776534,366588.018303191,66139.3936773192,23641.8635012603,481870.324496277,390852.740935356,396151.922825349,354644.46827758,74381.6610750623,317821.432789847,360421.235800099,442929.56085971,444565.165094763,422736.340098357
"C8-Pos-101487",NA,"C18 H41 N7 O4 S",393826.591610017,466484.791114817,442688.78754242,393935.154305031,426311.682577583,421850.338808461,436580.255574554,379062.796727192,424881.465475191,21096.2488955713,384981.20776534,366588.018303191,66139.3936773192,338706.226241617,481870.324496277,393451.460941488,396151.922825349,354644.46827758,74381.6610750623,165801.573060938,362446.857796351,442929.56085971,444565.165094763,422736.340098357
"C8-Pos-101488",NA,"C31 H68 N3 O9 P",NA,31784.6159137791,NA,NA,NA,36742.4768297361,28562.1785530477,NA,22068.6934209663,NA,NA,26209.6639118279,39067.2843096249,481690.243506964,NA,17994.7942472303,22472.5965887078,NA,NA,32748.0467282863,NA,32966.5774548264,30979.7204954449,20881.5478733096
