gene,cell_type,Compound.ID,Name,Class,Super.Class,logFC,set_id,set_label,condition,source,level,set_type
RELN,IN-CGE-Immature,Amide-Pos-000240,"N,N-Diethylethanolamine",Organonitrogen compounds,Organic nitrogen compounds,2.185248237407769,epilepsy_union,Epilepsy (all sources),Epilepsy,union: ILAE 2023 + Zhang 2024,condition,neuro
RELN,IN-CGE-Immature,Amide-Pos-000240,"N,N-Diethylethanolamine",Organonitrogen compounds,Organic nitrogen compounds,2.185248237407769,epi_zhang,Epilepsy (Zhang 2024),Epilepsy,Zhang 2024,paper,neuro
NRP1,IN-CGE-Immature,Amide-Pos-001079,Inosine,Purine nucleosides,"Nucleosides, nucleotides, and analogues",-1.7996659636156358,cad_aragam,CAD (Aragam 2022),CAD,Aragam 2022,paper,control
RBFOX1,IN-CGE-Immature,Amide-Pos-002120,Dihydronicotinamide-Adenine Dinucleotide,(5'->5')-dinucleotides,"Nucleosides, nucleotides, and analogues",-1.235807766401145,epilepsy_union,Epilepsy (all sources),Epilepsy,union: ILAE 2023 + Zhang 2024,condition,neuro
RBFOX1,IN-CGE-Immature,Amide-Pos-002120,Dihydronicotinamide-Adenine Dinucleotide,(5'->5')-dinucleotides,"Nucleosides, nucleotides, and analogues",-1.235807766401145,epi_ilae,Epilepsy (ILAE 2023),Epilepsy,ILAE 2023,paper,neuro
PRKG1,IN-CGE-Immature,Amide-Pos-002120,Dihydronicotinamide-Adenine Dinucleotide,(5'->5')-dinucleotides,"Nucleosides, nucleotides, and analogues",-1.544767212425758,ndd_fu_dd477,"DD (Fu 2022, DD477)",NDD,Fu 2022,paper,neuro
FOXP1,IN-CGE-Immature,Amide-Pos-002120,Dihydronicotinamide-Adenine Dinucleotide,(5'->5')-dinucleotides,"Nucleosides, nucleotides, and analogues",-1.5286183063979082,ndd_fu_dd477,"DD (Fu 2022, DD477)",NDD,Fu 2022,paper,neuro
MEIS2,IN-CGE-Immature,C18-Neg-000020,Methyl Dihydrogen Phosphate,Organic phosphoric acids and derivatives,Organic acids and derivatives,3.2818406799084583,ndd_fu_dd477,"DD (Fu 2022, DD477)",NDD,Fu 2022,paper,neuro
RARB,IN-CGE-Immature,C18-Neg-000020,Methyl Dihydrogen Phosphate,Organic phosphoric acids and derivatives,Organic acids and derivatives,3.983395608724048,ndd_fu_dd477,"DD (Fu 2022, DD477)",NDD,Fu 2022,paper,neuro
DCC,IN-CGE-Immature,C18-Neg-000020,Methyl Dihydrogen Phosphate,Organic phosphoric acids and derivatives,Organic acids and derivatives,3.058756520513481,scz_union,SCZ (all sources),SCZ,union: Chick 2025 + Trubetskoy 2022,condition,neuro
DCC,IN-CGE-Immature,C18-Neg-000020,Methyl Dihydrogen Phosphate,Organic phosphoric acids and derivatives,Organic acids and derivatives,3.058756520513481,scz_trubetskoy,SCZ (Trubetskoy 2022),SCZ,Trubetskoy 2022,paper,neuro
PRKG1,IN-CGE-Immature,C18-Neg-000020,Methyl Dihydrogen Phosphate,Organic phosphoric acids and derivatives,Organic acids and derivatives,2.0864626685007406,ndd_fu_dd477,"DD (Fu 2022, DD477)",NDD,Fu 2022,paper,neuro
ZFHX4,IN-CGE-Immature,C18-Neg-000020,Methyl Dihydrogen Phosphate,Organic phosphoric acids and derivatives,Organic acids and derivatives,2.158235615613738,ndd_fu_dd477,"DD (Fu 2022, DD477)",NDD,Fu 2022,paper,neuro
RYR2,IN-CGE-Immature,C18-Neg-000020,Methyl Dihydrogen Phosphate,Organic phosphoric acids and derivatives,Organic acids and derivatives,2.261882084064338,epilepsy_union,Epilepsy (all sources),Epilepsy,union: ILAE 2023 + Zhang 2024,condition,neuro
