n_fg,n_set_tested,fg_in_set,bg_in_set,OR,ci_lo,ci_hi,p,cell_type,set_id,n_bg,set_label,condition,source,level,set_type,reported,FDR,significant
20,112,1,111,11.318164688007311,0.27010594197512183,72.46693155202762,0.08930381739364301,EN-L6-IT,scz_union,24011,SCZ (all sources),SCZ,union: Chick 2025 + Trubetskoy 2022,condition,neuro,TRUE,0.18386080051632384,FALSE
107,8,1,7,30.79136603108386,0.6775644792424136,244.3292673216654,0.03664756721478357,EN-L6b,scz_chick,22984,SCZ (Chick 2025),SCZ,Chick 2025,paper,neuro,FALSE,0.08551099016782834,FALSE
107,103,3,100,6.5687143429288755,1.3111891591033888,20.28652850127962,0.012389940667838164,EN-L6b,scz_trubetskoy,22984,SCZ (Trubetskoy 2022),SCZ,Trubetskoy 2022,paper,neuro,FALSE,0.05921330388265895,FALSE
107,111,4,107,8.261765489943736,2.170218454901915,22.40813898209781,0.001814695258252366,EN-L6b,scz_union,22984,SCZ (all sources),SCZ,union: Chick 2025 + Trubetskoy 2022,condition,neuro,TRUE,0.021171444679610935,TRUE
38,8,0,8,NA,NA,NA,NA,EN-Newborn,scz_chick,24018,SCZ (Chick 2025),SCZ,Chick 2025,paper,neuro,FALSE,NA,FALSE
38,104,2,102,12.99625476412559,1.4967905855948158,51.593990580399925,0.011794857527436892,EN-Newborn,scz_trubetskoy,24018,SCZ (Trubetskoy 2022),SCZ,Trubetskoy 2022,paper,neuro,FALSE,0.05921330388265895,FALSE
38,112,2,110,12.050176808870507,1.3888208759499994,47.83376964160758,0.013580775169218212,EN-Newborn,scz_union,24018,SCZ (all sources),SCZ,union: Chick 2025 + Trubetskoy 2022,condition,neuro,TRUE,0.06790387584609106,FALSE
129,8,0,8,NA,NA,NA,NA,EN-Non-IT-Immature,scz_chick,21487,SCZ (Chick 2025),SCZ,Chick 2025,paper,neuro,FALSE,NA,FALSE
129,101,2,99,3.3813091353987645,0.39957262378981134,12.793825178228602,0.12329539377787921,EN-Non-IT-Immature,scz_trubetskoy,21487,SCZ (Trubetskoy 2022),SCZ,Trubetskoy 2022,paper,neuro,FALSE,0.2157669391112886,FALSE
129,109,2,107,3.1273201392084458,0.36993759129790915,11.809712164120754,0.13945593228694636,EN-Non-IT-Immature,scz_union,21487,SCZ (all sources),SCZ,union: Chick 2025 + Trubetskoy 2022,condition,neuro,TRUE,0.22186171045650557,FALSE
117,8,0,8,NA,NA,NA,NA,IN-CGE-Immature,scz_chick,15437,SCZ (Chick 2025),SCZ,Chick 2025,paper,neuro,FALSE,NA,FALSE
117,92,2,90,2.9425736381636693,0.3468683823932295,11.1849080144921,0.1541345777274018,IN-CGE-Immature,scz_trubetskoy,15437,SCZ (Trubetskoy 2022),SCZ,Trubetskoy 2022,paper,neuro,FALSE,0.24898662555964907,FALSE
117,100,2,98,2.7009495125255505,0.3187747224502267,10.241614317116714,0.1755468790512261,IN-CGE-Immature,scz_union,15437,SCZ (all sources),SCZ,union: Chick 2025 + Trubetskoy 2022,condition,neuro,TRUE,0.2475792856481306,FALSE
43,8,0,8,NA,NA,NA,NA,IN-MGE-Immature,scz_chick,15524,SCZ (Chick 2025),SCZ,Chick 2025,paper,neuro,FALSE,NA,FALSE
43,96,2,94,7.981579762031355,0.9220688958269415,31.519353060215373,0.028996208440504673,IN-MGE-Immature,scz_trubetskoy,15524,SCZ (Trubetskoy 2022),SCZ,Trubetskoy 2022,paper,neuro,FALSE,0.07611504715632476,FALSE
43,104,2,102,7.352607556146953,0.8502582322892601,28.997650943692285,0.033589216766582504,IN-MGE-Immature,scz_union,15524,SCZ (all sources),SCZ,union: Chick 2025 + Trubetskoy 2022,condition,neuro,TRUE,0.10687478062094433,FALSE
166,8,0,8,NA,NA,NA,NA,IN-MGE-SST,scz_chick,15743,SCZ (Chick 2025),SCZ,Chick 2025,paper,neuro,FALSE,NA,FALSE
166,93,6,87,6.674461898507301,2.349560295309836,15.445607824030926,4.4895351794873e-4,IN-MGE-SST,scz_trubetskoy,15743,SCZ (Trubetskoy 2022),SCZ,Trubetskoy 2022,paper,neuro,FALSE,0.00942802387692333,TRUE
166,101,6,95,6.109407176710847,2.1556324219913616,14.091113221601054,6.966057215628473e-4,IN-MGE-SST,scz_union,15743,SCZ (all sources),SCZ,union: Chick 2025 + Trubetskoy 2022,condition,neuro,TRUE,0.012190600127349828,TRUE
45,8,0,8,NA,NA,NA,NA,OPC,scz_chick,13445,SCZ (Chick 2025),SCZ,Chick 2025,paper,neuro,FALSE,NA,FALSE
45,83,0,83,NA,NA,NA,NA,OPC,scz_trubetskoy,13445,SCZ (Trubetskoy 2022),SCZ,Trubetskoy 2022,paper,neuro,FALSE,NA,FALSE
45,91,0,91,NA,NA,NA,NA,OPC,scz_union,13445,SCZ (all sources),SCZ,union: Chick 2025 + Trubetskoy 2022,condition,neuro,TRUE,NA,FALSE
